73, src: h116, dst: h144, sport: 74, dport: 74, flowsize: 10, starttime: 1000, finishtime: 1138, fct: 138, recvtput: 7.25 Gbps, sendtput: 100.0 Gbps

71, src: h106, dst: h144, sport: 72, dport: 72, flowsize: 10, starttime: 1000, finishtime: 2049, fct: 1049, recvtput: 0.95 Gbps, sendtput: 0.99 Gbps

52, src: h57, dst: h144, sport: 53, dport: 53, flowsize: 10, starttime: 1000, finishtime: 2152, fct: 1152, recvtput: 0.87 Gbps, sendtput: 0.99 Gbps

76, src: h119, dst: h144, sport: 77, dport: 77, flowsize: 10, starttime: 1000, finishtime: 2156, fct: 1156, recvtput: 0.87 Gbps, sendtput: 0.99 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 10, starttime: 1000, finishtime: 2161, fct: 1161, recvtput: 0.86 Gbps, sendtput: 0.98 Gbps

43, src: h38, dst: h144, sport: 44, dport: 44, flowsize: 10, starttime: 1000, finishtime: 2162, fct: 1162, recvtput: 0.86 Gbps, sendtput: 0.98 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 10, starttime: 1000, finishtime: 3039, fct: 2039, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

51, src: h56, dst: h144, sport: 52, dport: 52, flowsize: 10, starttime: 1000, finishtime: 3040, fct: 2040, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

69, src: h104, dst: h144, sport: 70, dport: 70, flowsize: 10, starttime: 1000, finishtime: 3046, fct: 2046, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

70, src: h105, dst: h144, sport: 71, dport: 71, flowsize: 10, starttime: 1000, finishtime: 3053, fct: 2053, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

60, src: h85, dst: h144, sport: 61, dport: 61, flowsize: 10, starttime: 1000, finishtime: 3056, fct: 2056, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

68, src: h103, dst: h144, sport: 69, dport: 69, flowsize: 10, starttime: 1000, finishtime: 3091, fct: 2091, recvtput: 0.48 Gbps, sendtput: 0.5 Gbps

74, src: h117, dst: h144, sport: 75, dport: 75, flowsize: 10, starttime: 1000, finishtime: 3092, fct: 2092, recvtput: 0.48 Gbps, sendtput: 0.5 Gbps

46, src: h41, dst: h144, sport: 47, dport: 47, flowsize: 10, starttime: 1000, finishtime: 3100, fct: 2100, recvtput: 0.48 Gbps, sendtput: 0.49 Gbps

31, src: h6, dst: h144, sport: 32, dport: 32, flowsize: 10, starttime: 1000, finishtime: 3113, fct: 2113, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

41, src: h26, dst: h144, sport: 42, dport: 42, flowsize: 10, starttime: 1000, finishtime: 3116, fct: 2116, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

47, src: h42, dst: h144, sport: 48, dport: 48, flowsize: 10, starttime: 1000, finishtime: 3119, fct: 2119, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

39, src: h24, dst: h144, sport: 40, dport: 40, flowsize: 10, starttime: 1000, finishtime: 3125, fct: 2125, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

44, src: h39, dst: h144, sport: 45, dport: 45, flowsize: 10, starttime: 1000, finishtime: 3126, fct: 2126, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

56, src: h71, dst: h144, sport: 57, dport: 57, flowsize: 10, starttime: 1000, finishtime: 3135, fct: 2135, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

37, src: h22, dst: h144, sport: 38, dport: 38, flowsize: 10, starttime: 1000, finishtime: 3137, fct: 2137, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

77, src: h120, dst: h144, sport: 78, dport: 78, flowsize: 10, starttime: 1000, finishtime: 3144, fct: 2144, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

75, src: h118, dst: h144, sport: 76, dport: 76, flowsize: 10, starttime: 1000, finishtime: 3159, fct: 2159, recvtput: 0.46 Gbps, sendtput: 0.49 Gbps

55, src: h70, dst: h144, sport: 56, dport: 56, flowsize: 10, starttime: 1000, finishtime: 4052, fct: 3052, recvtput: 0.33 Gbps, sendtput: 0.33 Gbps

40, src: h25, dst: h144, sport: 41, dport: 41, flowsize: 10, starttime: 1000, finishtime: 4055, fct: 3055, recvtput: 0.33 Gbps, sendtput: 0.33 Gbps

38, src: h23, dst: h144, sport: 39, dport: 39, flowsize: 10, starttime: 1000, finishtime: 4057, fct: 3057, recvtput: 0.33 Gbps, sendtput: 0.33 Gbps

72, src: h115, dst: h144, sport: 73, dport: 73, flowsize: 10, starttime: 1000, finishtime: 4062, fct: 3062, recvtput: 0.33 Gbps, sendtput: 0.33 Gbps

36, src: h21, dst: h144, sport: 37, dport: 37, flowsize: 10, starttime: 1000, finishtime: 4063, fct: 3063, recvtput: 0.33 Gbps, sendtput: 0.33 Gbps

64, src: h89, dst: h144, sport: 65, dport: 65, flowsize: 10, starttime: 1000, finishtime: 4071, fct: 3071, recvtput: 0.33 Gbps, sendtput: 0.33 Gbps

63, src: h88, dst: h144, sport: 64, dport: 64, flowsize: 10, starttime: 1000, finishtime: 4080, fct: 3080, recvtput: 0.32 Gbps, sendtput: 0.33 Gbps

58, src: h73, dst: h144, sport: 59, dport: 59, flowsize: 10, starttime: 1000, finishtime: 4081, fct: 3081, recvtput: 0.32 Gbps, sendtput: 0.33 Gbps

