34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 99, starttime: 1000, finishtime: 1748, fct: 748, recvtput: 13.24 Gbps, sendtput: 13.66 Gbps

93, src: h115, dst: h144, sport: 94, dport: 94, flowsize: 99, starttime: 1000, finishtime: 1755, fct: 755, recvtput: 13.11 Gbps, sendtput: 13.51 Gbps

88, src: h105, dst: h144, sport: 89, dport: 89, flowsize: 99, starttime: 1000, finishtime: 1841, fct: 841, recvtput: 11.77 Gbps, sendtput: 12.09 Gbps

96, src: h118, dst: h144, sport: 97, dport: 97, flowsize: 99, starttime: 1000, finishtime: 2696, fct: 1696, recvtput: 5.84 Gbps, sendtput: 5.94 Gbps

63, src: h59, dst: h144, sport: 64, dport: 64, flowsize: 99, starttime: 1000, finishtime: 2711, fct: 1711, recvtput: 5.79 Gbps, sendtput: 5.88 Gbps

47, src: h29, dst: h144, sport: 48, dport: 48, flowsize: 99, starttime: 1000, finishtime: 2774, fct: 1774, recvtput: 5.58 Gbps, sendtput: 5.65 Gbps

62, src: h58, dst: h144, sport: 63, dport: 63, flowsize: 99, starttime: 1000, finishtime: 2784, fct: 1784, recvtput: 5.55 Gbps, sendtput: 5.62 Gbps

69, src: h72, dst: h144, sport: 70, dport: 70, flowsize: 99, starttime: 1000, finishtime: 3652, fct: 2652, recvtput: 3.73 Gbps, sendtput: 3.77 Gbps

52, src: h41, dst: h144, sport: 53, dport: 53, flowsize: 99, starttime: 1000, finishtime: 3713, fct: 2713, recvtput: 3.65 Gbps, sendtput: 3.68 Gbps

38, src: h13, dst: h144, sport: 39, dport: 39, flowsize: 99, starttime: 1000, finishtime: 3723, fct: 2723, recvtput: 3.64 Gbps, sendtput: 3.67 Gbps

94, src: h116, dst: h144, sport: 95, dport: 95, flowsize: 99, starttime: 1000, finishtime: 3907, fct: 2907, recvtput: 3.41 Gbps, sendtput: 3.43 Gbps

57, src: h53, dst: h144, sport: 58, dport: 58, flowsize: 99, starttime: 1000, finishtime: 4762, fct: 3762, recvtput: 2.63 Gbps, sendtput: 2.65 Gbps

81, src: h91, dst: h144, sport: 82, dport: 82, flowsize: 99, starttime: 1000, finishtime: 4887, fct: 3887, recvtput: 2.55 Gbps, sendtput: 2.56 Gbps

79, src: h89, dst: h144, sport: 80, dport: 80, flowsize: 99, starttime: 1000, finishtime: 4919, fct: 3919, recvtput: 2.53 Gbps, sendtput: 2.54 Gbps

77, src: h87, dst: h144, sport: 78, dport: 78, flowsize: 99, starttime: 1000, finishtime: 4924, fct: 3924, recvtput: 2.52 Gbps, sendtput: 2.54 Gbps

98, src: h120, dst: h144, sport: 99, dport: 99, flowsize: 99, starttime: 1000, finishtime: 5109, fct: 4109, recvtput: 2.41 Gbps, sendtput: 2.42 Gbps

102, src: h124, dst: h144, sport: 103, dport: 103, flowsize: 99, starttime: 1000, finishtime: 5119, fct: 4119, recvtput: 2.4 Gbps, sendtput: 2.42 Gbps

55, src: h44, dst: h144, sport: 56, dport: 56, flowsize: 99, starttime: 1000, finishtime: 5755, fct: 4755, recvtput: 2.08 Gbps, sendtput: 2.09 Gbps

50, src: h39, dst: h144, sport: 51, dport: 51, flowsize: 99, starttime: 1000, finishtime: 5847, fct: 4847, recvtput: 2.04 Gbps, sendtput: 2.05 Gbps

100, src: h122, dst: h144, sport: 101, dport: 101, flowsize: 99, starttime: 1000, finishtime: 5867, fct: 4867, recvtput: 2.03 Gbps, sendtput: 2.04 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 6693, fct: 6693, recvtput: 74.7 Gbps, sendtput: 74.96 Gbps

92, src: h109, dst: h144, sport: 93, dport: 93, flowsize: 99, starttime: 1000, finishtime: 6819, fct: 5819, recvtput: 1.7 Gbps, sendtput: 1.72 Gbps

41, src: h23, dst: h144, sport: 42, dport: 42, flowsize: 99, starttime: 1000, finishtime: 6862, fct: 5862, recvtput: 1.69 Gbps, sendtput: 1.7 Gbps

58, src: h54, dst: h144, sport: 59, dport: 59, flowsize: 99, starttime: 1000, finishtime: 6881, fct: 5881, recvtput: 1.68 Gbps, sendtput: 1.69 Gbps

53, src: h42, dst: h144, sport: 54, dport: 54, flowsize: 99, starttime: 1000, finishtime: 6945, fct: 5945, recvtput: 1.67 Gbps, sendtput: 1.67 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 99, starttime: 1000, finishtime: 6961, fct: 5961, recvtput: 1.66 Gbps, sendtput: 1.67 Gbps

