76, src: h119, dst: h144, sport: 77, dport: 77, flowsize: 99, starttime: 1000, finishtime: 3732, fct: 2732, recvtput: 3.62 Gbps, sendtput: 3.65 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 99, starttime: 1000, finishtime: 3744, fct: 2744, recvtput: 3.61 Gbps, sendtput: 3.64 Gbps

35, src: h10, dst: h144, sport: 36, dport: 36, flowsize: 99, starttime: 1000, finishtime: 4688, fct: 3688, recvtput: 2.68 Gbps, sendtput: 2.7 Gbps

52, src: h57, dst: h144, sport: 53, dport: 53, flowsize: 99, starttime: 1000, finishtime: 4775, fct: 3775, recvtput: 2.62 Gbps, sendtput: 2.64 Gbps

77, src: h120, dst: h144, sport: 78, dport: 78, flowsize: 99, starttime: 1000, finishtime: 4870, fct: 3870, recvtput: 2.56 Gbps, sendtput: 2.57 Gbps

73, src: h116, dst: h144, sport: 74, dport: 74, flowsize: 99, starttime: 1000, finishtime: 5643, fct: 4643, recvtput: 2.13 Gbps, sendtput: 2.14 Gbps

43, src: h38, dst: h144, sport: 44, dport: 44, flowsize: 99, starttime: 1000, finishtime: 5674, fct: 4674, recvtput: 2.12 Gbps, sendtput: 2.13 Gbps

75, src: h118, dst: h144, sport: 76, dport: 76, flowsize: 99, starttime: 1000, finishtime: 5800, fct: 4800, recvtput: 2.06 Gbps, sendtput: 2.07 Gbps

41, src: h26, dst: h144, sport: 42, dport: 42, flowsize: 99, starttime: 1000, finishtime: 6654, fct: 5654, recvtput: 1.75 Gbps, sendtput: 1.76 Gbps

71, src: h106, dst: h144, sport: 72, dport: 72, flowsize: 99, starttime: 1000, finishtime: 6687, fct: 5687, recvtput: 1.74 Gbps, sendtput: 1.75 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 99, starttime: 1000, finishtime: 6728, fct: 5728, recvtput: 1.73 Gbps, sendtput: 1.74 Gbps

38, src: h23, dst: h144, sport: 39, dport: 39, flowsize: 99, starttime: 1000, finishtime: 6835, fct: 5835, recvtput: 1.7 Gbps, sendtput: 1.7 Gbps

39, src: h24, dst: h144, sport: 40, dport: 40, flowsize: 99, starttime: 1000, finishtime: 7896, fct: 6896, recvtput: 1.44 Gbps, sendtput: 1.44 Gbps

37, src: h22, dst: h144, sport: 38, dport: 38, flowsize: 99, starttime: 1000, finishtime: 8825, fct: 7825, recvtput: 1.27 Gbps, sendtput: 1.27 Gbps

36, src: h21, dst: h144, sport: 37, dport: 37, flowsize: 99, starttime: 1000, finishtime: 8873, fct: 7873, recvtput: 1.26 Gbps, sendtput: 1.26 Gbps

47, src: h42, dst: h144, sport: 48, dport: 48, flowsize: 99, starttime: 1000, finishtime: 8962, fct: 7962, recvtput: 1.24 Gbps, sendtput: 1.25 Gbps

60, src: h85, dst: h144, sport: 61, dport: 61, flowsize: 99, starttime: 1000, finishtime: 8974, fct: 7974, recvtput: 1.24 Gbps, sendtput: 1.24 Gbps

70, src: h105, dst: h144, sport: 71, dport: 71, flowsize: 99, starttime: 1000, finishtime: 9093, fct: 8093, recvtput: 1.22 Gbps, sendtput: 1.23 Gbps

49, src: h54, dst: h144, sport: 50, dport: 50, flowsize: 99, starttime: 1000, finishtime: 9180, fct: 8180, recvtput: 1.21 Gbps, sendtput: 1.21 Gbps

79, src: h122, dst: h144, sport: 80, dport: 80, flowsize: 99, starttime: 1000, finishtime: 9186, fct: 8186, recvtput: 1.21 Gbps, sendtput: 1.21 Gbps

53, src: h58, dst: h144, sport: 54, dport: 54, flowsize: 99, starttime: 1000, finishtime: 9795, fct: 8795, recvtput: 1.13 Gbps, sendtput: 1.13 Gbps

51, src: h56, dst: h144, sport: 52, dport: 52, flowsize: 99, starttime: 1000, finishtime: 9826, fct: 8826, recvtput: 1.12 Gbps, sendtput: 1.13 Gbps

61, src: h86, dst: h144, sport: 62, dport: 62, flowsize: 99, starttime: 1000, finishtime: 9853, fct: 8853, recvtput: 1.12 Gbps, sendtput: 1.12 Gbps

78, src: h121, dst: h144, sport: 79, dport: 79, flowsize: 99, starttime: 1000, finishtime: 9861, fct: 8861, recvtput: 1.12 Gbps, sendtput: 1.12 Gbps

56, src: h71, dst: h144, sport: 57, dport: 57, flowsize: 99, starttime: 1000, finishtime: 9946, fct: 8946, recvtput: 1.11 Gbps, sendtput: 1.11 Gbps

28, src: h84, dst: h142, sport: 29, dport: 29, flowsize: 5000, starttime: 0, finishtime: 10423, fct: 10423, recvtput: 47.97 Gbps, sendtput: 48.07 Gbps

55, src: h70, dst: h144, sport: 56, dport: 56, flowsize: 99, starttime: 1000, finishtime: 10873, fct: 9873, recvtput: 1.0 Gbps, sendtput: 1.0 Gbps

44, src: h39, dst: h144, sport: 45, dport: 45, flowsize: 99, starttime: 1000, finishtime: 10874, fct: 9874, recvtput: 1.0 Gbps, sendtput: 1.0 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 11257, fct: 11257, recvtput: 44.42 Gbps, sendtput: 44.54 Gbps

32, src: h7, dst: h144, sport: 33, dport: 33, flowsize: 99, starttime: 1000, finishtime: 12002, fct: 11002, recvtput: 0.9 Gbps, sendtput: 0.9 Gbps

46, src: h41, dst: h144, sport: 47, dport: 47, flowsize: 99, starttime: 1000, finishtime: 12228, fct: 11228, recvtput: 0.88 Gbps, sendtput: 0.88 Gbps

