flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h21,h33,385,385,163
h21,h35,933,933,120
h14,h107,472,472,113
h11,h30,360,360,104
h15,h125,616,616,104
h14,h106,927,927,102
h19,h100,407,407,101
h5,h22,1435,1435,101
h5,h20,800,800,100
h31,h68,1490,1490,98
h13,h57,24,24,97
h8,h29,127,127,97
h7,h58,610,610,96
h31,h124,227,227,94
h11,h38,1124,1124,93
h3,h100,438,438,93
h16,h79,1474,1474,91
h12,h26,280,280,90
h23,h54,318,318,90
h24,h132,420,420,90
h29,h1,366,366,90
h15,h33,1364,1364,89
h4,h117,378,378,88
h3,h31,1375,1375,87
h6,h142,402,402,87
h28,h68,977,977,85
h25,h92,817,817,83
h3,h71,775,775,83
h10,h32,1070,1070,80
h8,h35,1207,1207,80
h32,h118,213,213,79
h9,h91,496,496,78
h25,h39,991,991,77
h3,h32,793,793,77
h5,h57,507,507,77
h8,h70,1341,1341,76
h1,h23,325,325,74
h10,h19,1315,1315,74
h20,h125,1253,1253,74
h29,h49,524,524,73
h5,h99,265,265,73
h17,h72,1465,1465,72
h17,h83,1226,1226,72
h20,h39,1199,1199,72
h27,h48,1089,1089,72
h13,h53,301,301,71
h15,h20,254,254,71
h15,h45,1475,1475,71
h20,h57,185,185,71
h6,h53,725,725,71
h9,h25,390,390,71
h10,h57,910,910,70
h19,h15,335,335,70
h21,h143,1239,1239,70
h9,h51,607,607,70
h8,h30,540,540,69
h10,h24,1166,1166,68
h12,h44,262,262,68
h13,h32,404,404,68
h18,h95,467,467,68
h10,h70,125,125,67
h32,h106,818,818,67
h8,h73,802,802,67
h17,h79,122,122,66
h28,h11,1150,1150,66
h28,h131,1215,1215,66
h32,h69,941,941,66
h24,h84,1285,1285,65
h24,h39,298,298,64
h29,h94,983,983,64
h14,h60,361,361,63
h30,h103,179,179,63
h1,h39,742,742,62
h18,h98,74,74,62
h21,h3,643,643,62
h27,h51,908,908,62
h31,h117,338,338,62
h31,h58,113,113,62
h8,h77,1211,1211,62
h11,h72,1086,1086,61
h16,h129,330,330,61
h18,h11,837,837,61
h30,h88,16,16,61
h10,h34,666,666,60
h15,h103,39,39,60
h19,h114,978,978,60
h22,h115,1398,1398,60
h3,h64,300,300,60
h30,h130,435,435,60
h8,h43,603,603,60
h10,h40,1496,1496,59
h13,h70,1022,1022,59
h15,h88,1119,1119,59
h17,h85,640,640,59
h19,h112,356,356,59
h2,h131,80,80,59
h21,h103,804,804,59
h3,h100,683,683,59
h30,h17,518,518,59
h7,h100,1469,1469,59
h14,h112,945,945,58
h17,h122,1133,1133,58
h20,h89,459,459,58
h21,h35,1232,1232,58
h28,h137,702,702,58
h4,h55,1059,1059,58
h7,h41,779,779,58
h11,h65,577,577,57
h12,h110,500,500,57
h13,h35,531,531,57
h16,h68,571,571,57
h28,h105,1091,1091,57
h1,h65,1344,1344,56
h13,h128,1018,1018,56
h13,h93,344,344,56
h17,h42,1324,1324,56
