reorder_peak,flow_count
155,1
154,0
153,1
152,1
151,0
150,0
149,0
148,0
147,0
146,0
145,0
144,0
143,0
142,0
141,0
140,0
139,0
138,0
137,0
136,0
135,0
134,1
133,0
132,0
131,0
130,0
129,0
128,0
127,2
126,0
125,0
124,0
123,1
122,0
121,0
120,1
119,0
118,0
117,0
116,0
115,0
114,0
113,1
112,0
111,1
110,0
109,1
108,0
107,0
106,0
105,0
104,1
103,0
102,0
101,1
100,0
99,1
98,1
97,1
96,1
95,0
94,1
93,3
92,2
91,3
90,1
89,2
88,0
87,4
86,4
85,1
84,1
83,4
82,3
81,2
80,1
79,3
78,1
77,2
76,3
75,6
74,1
73,5
72,7
71,5
70,3
69,4
68,7
67,7
66,13
65,4
64,8
63,8
62,8
61,10
60,10
59,9
58,12
57,10
56,9
55,16
54,16
53,17
52,16
51,23
50,23
49,29
48,30
47,28
46,38
45,32
44,26
43,30
42,22
41,28
40,26
39,22
38,22
37,29
36,22
35,23
34,13
33,14
32,19
31,14
30,12
29,10
28,11
27,9
26,15
25,12
24,13
23,9
22,8
21,13
20,8
19,7
18,5
17,10
16,5
15,2
14,4
13,3
12,12
11,2
10,5
9,8
8,1
7,4
6,4
5,7
4,2
3,5
2,7
1,12
0,0
