104, src: h103, dst: h144, sport: 105, dport: 105, flowsize: 20, starttime: 1000, finishtime: 3129, fct: 2129, recvtput: -7.06 Gbps, sendtput: 0.98 Gbps

96, src: h91, dst: h144, sport: 97, dport: 97, flowsize: 20, starttime: 1000, finishtime: 5089, fct: 4089, recvtput: -7.51 Gbps, sendtput: 0.49 Gbps

54, src: h37, dst: h144, sport: 55, dport: 55, flowsize: 20, starttime: 1000, finishtime: 5090, fct: 4090, recvtput: -7.51 Gbps, sendtput: 0.49 Gbps

63, src: h46, dst: h144, sport: 64, dport: 64, flowsize: 20, starttime: 1000, finishtime: 5092, fct: 4092, recvtput: -7.51 Gbps, sendtput: 0.49 Gbps

93, src: h88, dst: h144, sport: 94, dport: 94, flowsize: 20, starttime: 1000, finishtime: 5094, fct: 4094, recvtput: -7.51 Gbps, sendtput: 0.49 Gbps

68, src: h55, dst: h144, sport: 69, dport: 69, flowsize: 20, starttime: 1000, finishtime: 5135, fct: 4135, recvtput: -7.52 Gbps, sendtput: 0.49 Gbps

73, src: h60, dst: h144, sport: 74, dport: 74, flowsize: 20, starttime: 1000, finishtime: 5166, fct: 4166, recvtput: -7.52 Gbps, sendtput: 0.49 Gbps

66, src: h53, dst: h144, sport: 67, dport: 67, flowsize: 20, starttime: 1000, finishtime: 5178, fct: 4178, recvtput: -7.52 Gbps, sendtput: 0.49 Gbps

42, src: h21, dst: h144, sport: 43, dport: 43, flowsize: 20, starttime: 1000, finishtime: 5204, fct: 4204, recvtput: -7.52 Gbps, sendtput: 0.49 Gbps

110, src: h109, dst: h144, sport: 111, dport: 111, flowsize: 20, starttime: 1000, finishtime: 6098, fct: 5098, recvtput: -7.61 Gbps, sendtput: 0.39 Gbps

59, src: h42, dst: h144, sport: 60, dport: 60, flowsize: 20, starttime: 1000, finishtime: 6100, fct: 5100, recvtput: -7.61 Gbps, sendtput: 0.39 Gbps

91, src: h86, dst: h144, sport: 92, dport: 92, flowsize: 20, starttime: 1000, finishtime: 6108, fct: 5108, recvtput: -7.61 Gbps, sendtput: 0.39 Gbps

50, src: h29, dst: h144, sport: 51, dport: 51, flowsize: 20, starttime: 1000, finishtime: 6113, fct: 5113, recvtput: -7.61 Gbps, sendtput: 0.39 Gbps

41, src: h16, dst: h144, sport: 42, dport: 42, flowsize: 20, starttime: 1000, finishtime: 6123, fct: 5123, recvtput: -7.61 Gbps, sendtput: 0.39 Gbps

47, src: h26, dst: h144, sport: 48, dport: 48, flowsize: 20, starttime: 1000, finishtime: 6138, fct: 5138, recvtput: -7.61 Gbps, sendtput: 0.39 Gbps

