87, src: h104, dst: h144, sport: 88, dport: 88, flowsize: 10, starttime: 1000, finishtime: 2033, fct: 1033, recvtput: -0.03 Gbps, sendtput: 0.99 Gbps

47, src: h29, dst: h144, sport: 48, dport: 48, flowsize: 10, starttime: 1000, finishtime: 2097, fct: 1097, recvtput: -0.09 Gbps, sendtput: 0.96 Gbps

56, src: h45, dst: h144, sport: 57, dport: 57, flowsize: 10, starttime: 1000, finishtime: 2110, fct: 1110, recvtput: -0.1 Gbps, sendtput: 0.96 Gbps

69, src: h72, dst: h144, sport: 70, dport: 70, flowsize: 10, starttime: 1000, finishtime: 2138, fct: 1138, recvtput: -0.12 Gbps, sendtput: 0.94 Gbps

66, src: h69, dst: h144, sport: 67, dport: 67, flowsize: 10, starttime: 1000, finishtime: 2182, fct: 1182, recvtput: -0.15 Gbps, sendtput: 0.9 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 10, starttime: 1000, finishtime: 2248, fct: 1248, recvtput: -0.2 Gbps, sendtput: 0.85 Gbps

40, src: h22, dst: h144, sport: 41, dport: 41, flowsize: 10, starttime: 1000, finishtime: 2250, fct: 1250, recvtput: -0.2 Gbps, sendtput: 0.85 Gbps

45, src: h27, dst: h144, sport: 46, dport: 46, flowsize: 10, starttime: 1000, finishtime: 2252, fct: 1252, recvtput: -0.2 Gbps, sendtput: 0.84 Gbps

62, src: h58, dst: h144, sport: 63, dport: 63, flowsize: 10, starttime: 1000, finishtime: 2263, fct: 1263, recvtput: -0.21 Gbps, sendtput: 0.83 Gbps

86, src: h103, dst: h144, sport: 87, dport: 87, flowsize: 10, starttime: 1000, finishtime: 2270, fct: 1270, recvtput: -0.21 Gbps, sendtput: 0.83 Gbps

90, src: h107, dst: h144, sport: 91, dport: 91, flowsize: 10, starttime: 1000, finishtime: 2271, fct: 1271, recvtput: -0.21 Gbps, sendtput: 0.83 Gbps

78, src: h88, dst: h144, sport: 79, dport: 79, flowsize: 10, starttime: 1000, finishtime: 2273, fct: 1273, recvtput: -0.21 Gbps, sendtput: 0.83 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 10, starttime: 1000, finishtime: 2307, fct: 1307, recvtput: -0.23 Gbps, sendtput: 0.8 Gbps

