47, src: h29, dst: h144, sport: 48, dport: 48, flowsize: 99, starttime: 1000, finishtime: 3578, fct: 2578, recvtput: 3.84 Gbps, sendtput: 3.87 Gbps

79, src: h89, dst: h144, sport: 80, dport: 80, flowsize: 99, starttime: 1000, finishtime: 4620, fct: 3620, recvtput: 2.73 Gbps, sendtput: 2.75 Gbps

102, src: h124, dst: h144, sport: 103, dport: 103, flowsize: 99, starttime: 1000, finishtime: 6690, fct: 5690, recvtput: 1.74 Gbps, sendtput: 1.76 Gbps

60, src: h56, dst: h144, sport: 61, dport: 61, flowsize: 99, starttime: 1000, finishtime: 6887, fct: 5887, recvtput: 1.68 Gbps, sendtput: 1.69 Gbps

96, src: h118, dst: h144, sport: 97, dport: 97, flowsize: 99, starttime: 1000, finishtime: 6915, fct: 5915, recvtput: 1.67 Gbps, sendtput: 1.68 Gbps

77, src: h87, dst: h144, sport: 78, dport: 78, flowsize: 99, starttime: 1000, finishtime: 6934, fct: 5934, recvtput: 1.67 Gbps, sendtput: 1.68 Gbps

63, src: h59, dst: h144, sport: 64, dport: 64, flowsize: 99, starttime: 1000, finishtime: 6936, fct: 5936, recvtput: 1.67 Gbps, sendtput: 1.67 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 99, starttime: 1000, finishtime: 6977, fct: 5977, recvtput: 1.66 Gbps, sendtput: 1.66 Gbps

76, src: h86, dst: h144, sport: 77, dport: 77, flowsize: 99, starttime: 1000, finishtime: 7160, fct: 6160, recvtput: 1.61 Gbps, sendtput: 1.61 Gbps

69, src: h72, dst: h144, sport: 70, dport: 70, flowsize: 99, starttime: 1000, finishtime: 7714, fct: 6714, recvtput: 1.47 Gbps, sendtput: 1.48 Gbps

94, src: h116, dst: h144, sport: 95, dport: 95, flowsize: 99, starttime: 1000, finishtime: 7746, fct: 6746, recvtput: 1.47 Gbps, sendtput: 1.47 Gbps

88, src: h105, dst: h144, sport: 89, dport: 89, flowsize: 99, starttime: 1000, finishtime: 7832, fct: 6832, recvtput: 1.45 Gbps, sendtput: 1.45 Gbps

38, src: h13, dst: h144, sport: 39, dport: 39, flowsize: 99, starttime: 1000, finishtime: 7890, fct: 6890, recvtput: 1.44 Gbps, sendtput: 1.44 Gbps

53, src: h42, dst: h144, sport: 54, dport: 54, flowsize: 99, starttime: 1000, finishtime: 8833, fct: 7833, recvtput: 1.26 Gbps, sendtput: 1.27 Gbps

52, src: h41, dst: h144, sport: 53, dport: 53, flowsize: 99, starttime: 1000, finishtime: 8869, fct: 7869, recvtput: 1.26 Gbps, sendtput: 1.26 Gbps

100, src: h122, dst: h144, sport: 101, dport: 101, flowsize: 99, starttime: 1000, finishtime: 8876, fct: 7876, recvtput: 1.26 Gbps, sendtput: 1.26 Gbps

93, src: h115, dst: h144, sport: 94, dport: 94, flowsize: 99, starttime: 1000, finishtime: 8914, fct: 7914, recvtput: 1.25 Gbps, sendtput: 1.25 Gbps

81, src: h91, dst: h144, sport: 82, dport: 82, flowsize: 99, starttime: 1000, finishtime: 8978, fct: 7978, recvtput: 1.24 Gbps, sendtput: 1.24 Gbps

98, src: h120, dst: h144, sport: 99, dport: 99, flowsize: 99, starttime: 1000, finishtime: 9668, fct: 8668, recvtput: 1.14 Gbps, sendtput: 1.15 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 9777, fct: 9777, recvtput: 51.14 Gbps, sendtput: 51.26 Gbps

66, src: h69, dst: h144, sport: 67, dport: 67, flowsize: 99, starttime: 1000, finishtime: 9777, fct: 8777, recvtput: 1.13 Gbps, sendtput: 1.13 Gbps

86, src: h103, dst: h144, sport: 87, dport: 87, flowsize: 99, starttime: 1000, finishtime: 9788, fct: 8788, recvtput: 1.13 Gbps, sendtput: 1.13 Gbps

58, src: h54, dst: h144, sport: 59, dport: 59, flowsize: 99, starttime: 1000, finishtime: 9945, fct: 8945, recvtput: 1.11 Gbps, sendtput: 1.11 Gbps

40, src: h22, dst: h144, sport: 41, dport: 41, flowsize: 99, starttime: 1000, finishtime: 9962, fct: 8962, recvtput: 1.1 Gbps, sendtput: 1.11 Gbps

54, src: h43, dst: h144, sport: 55, dport: 55, flowsize: 99, starttime: 1000, finishtime: 9970, fct: 8970, recvtput: 1.1 Gbps, sendtput: 1.11 Gbps

57, src: h53, dst: h144, sport: 58, dport: 58, flowsize: 99, starttime: 1000, finishtime: 10755, fct: 9755, recvtput: 1.01 Gbps, sendtput: 1.02 Gbps

50, src: h39, dst: h144, sport: 51, dport: 51, flowsize: 99, starttime: 1000, finishtime: 10817, fct: 9817, recvtput: 1.01 Gbps, sendtput: 1.01 Gbps

95, src: h117, dst: h144, sport: 96, dport: 96, flowsize: 99, starttime: 1000, finishtime: 11040, fct: 10040, recvtput: 0.99 Gbps, sendtput: 0.99 Gbps

28, src: h84, dst: h142, sport: 29, dport: 29, flowsize: 5000, starttime: 0, finishtime: 11538, fct: 11538, recvtput: 43.34 Gbps, sendtput: 43.42 Gbps

78, src: h88, dst: h144, sport: 79, dport: 79, flowsize: 99, starttime: 1000, finishtime: 11846, fct: 10846, recvtput: 0.91 Gbps, sendtput: 0.91 Gbps

89, src: h106, dst: h144, sport: 90, dport: 90, flowsize: 99, starttime: 1000, finishtime: 12054, fct: 11054, recvtput: 0.9 Gbps, sendtput: 0.9 Gbps

24, src: h20, dst: h138, sport: 25, dport: 25, flowsize: 5000, starttime: 0, finishtime: 12376, fct: 12376, recvtput: 40.4 Gbps, sendtput: 40.47 Gbps

97, src: h119, dst: h144, sport: 98, dport: 98, flowsize: 99, starttime: 1000, finishtime: 12772, fct: 11772, recvtput: 0.84 Gbps, sendtput: 0.84 Gbps

62, src: h58, dst: h144, sport: 63, dport: 63, flowsize: 99, starttime: 1000, finishtime: 12912, fct: 11912, recvtput: 0.83 Gbps, sendtput: 0.83 Gbps

90, src: h107, dst: h144, sport: 91, dport: 91, flowsize: 99, starttime: 1000, finishtime: 12968, fct: 11968, recvtput: 0.83 Gbps, sendtput: 0.83 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 99, starttime: 1000, finishtime: 12977, fct: 11977, recvtput: 0.83 Gbps, sendtput: 0.83 Gbps

