flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h20,h22,642,642,60
h24,h17,271,271,59
h22,h142,442,442,57
h26,h117,737,737,57
h12,h124,451,451,53
h13,h78,494,494,52
h15,h89,459,459,52
h12,h95,516,516,51
h25,h84,611,611,51
h14,h53,301,301,50
h27,h34,666,666,50
h28,h40,756,756,50
h17,h28,674,674,49
h17,h44,771,771,49
h2,h121,730,730,49
h20,h20,728,728,49
h28,h56,589,589,49
h3,h26,630,630,49
h31,h59,29,29,49
h18,h60,361,361,48
h25,h82,216,216,48
h26,h131,80,80,48
h16,h68,571,571,47
h19,h3,643,643,47
h22,h35,486,486,47
h30,h133,751,751,47
h5,h112,171,171,47
h19,h40,470,470,46
h2,h18,30,30,46
h21,h56,410,410,46
h30,h140,106,106,46
h4,h51,607,607,46
h5,h100,407,407,46
h7,h78,260,260,46
h1,h91,529,529,45
h15,h98,74,74,45
h17,h105,627,627,45
h24,h120,329,329,45
h27,h100,683,683,45
h27,h138,750,750,45
h5,h76,412,412,45
h7,h48,160,160,45
h14,h121,602,602,44
h17,h43,619,619,44
h17,h98,411,411,44
h19,h124,227,227,44
h21,h73,445,445,44
h27,h66,82,82,44
h29,h49,524,524,44
h9,h4,511,511,44
h17,h79,122,122,43
h21,h65,431,431,43
h26,h124,231,231,43
h27,h140,48,48,43
h28,h137,702,702,43
h3,h80,716,716,43
h30,h32,434,434,43
h30,h55,414,414,43
h7,h79,38,38,43
h11,h43,603,603,42
h12,h132,27,27,42
h18,h57,507,507,42
h22,h131,588,588,42
h25,h34,98,98,42
h3,h24,729,729,42
h21,h1,345,345,41
h26,h17,59,59,41
h28,h60,701,701,41
h28,h95,269,269,41
h4,h111,481,481,41
h6,h70,132,132,41
h9,h25,390,390,41
h3,h119,256,256,40
h32,h70,125,125,40
h8,h44,262,262,40
h13,h43,444,444,39
h15,h6,740,740,39
h24,h7,713,713,39
h26,h13,440,440,39
h32,h30,360,360,39
h8,h57,24,24,39
h1,h131,631,631,38
h23,h138,395,395,38
h7,h63,396,396,38
h11,h103,39,39,37
h11,h36,316,316,37
h14,h118,213,213,37
h14,h99,265,265,37
h15,h105,673,673,37
h16,h44,574,574,37
h17,h103,268,268,37
h18,h27,460,460,37
h20,h57,185,185,37
h25,h139,37,37,37
h26,h68,375,375,37
h31,h68,45,45,37
h5,h34,738,738,37
h10,h105,475,475,36
h13,h115,287,287,36
h15,h13,649,649,36
h2,h141,463,463,36
h20,h76,328,328,36
h25,h99,238,238,36
h26,h117,456,456,36
h30,h63,545,545,36
h31,h87,93,93,36
h4,h15,526,526,36
h9,h108,551,551,36
h13,h35,531,531,35
h14,h1,366,366,35
h2,h53,725,725,35
h21,h6,636,636,35
h25,h132,562,562,35
h27,h70,291,291,35
h6,h74,204,204,35
h8,h98,57,57,35
h25,h58,664,664,34
h28,h142,402,402,34
h32,h33,704,704,34
h11,h70,95,95,33
h12,h110,500,500,33
h18,h4,415,415,33
h20,h123,678,678,33
h20,h35,536,536,33
h26,h20,461,461,33
h32,h100,438,438,33
h32,h121,76,76,33
h5,h130,435,435,33
h7,h23,719,719,33
h8,h21,257,257,33
h13,h97,341,341,32
h16,h38,292,292,32
h31,h58,113,113,32
h8,h29,127,127,32
h11,h52,326,326,31
h15,h125,616,616,31
h15,h85,640,640,31
h2,h109,490,490,31
h24,h54,318,318,31
h27,h7,266,266,31
h28,h10,174,174,31
h30,h103,179,179,31
h30,h54,156,156,31
h5,h65,577,577,31
h14,h23,325,325,30
h19,h15,7,7,30
h22,h80,532,532,30
h28,h80,116,116,30
h8,h46,598,598,30
h29,h82,510,510,29
h32,h16,162,162,29
h5,h64,300,300,29
h9,h92,323,323,29
h10,h28,110,110,28
h14,h130,302,302,28
h20,h8,675,675,28
h21,h21,770,770,28
h28,h63,394,394,28
h29,h39,742,742,28
h3,h121,2,2,28
h32,h33,385,385,28
h32,h88,16,16,28
h7,h15,457,457,28
h12,h32,404,404,27
h15,h20,254,254,27
h27,h57,374,374,27
h16,h71,33,33,26
h18,h119,754,754,26
h2,h82,391,391,26
h21,h10,606,606,26
h26,h128,214,214,26
h27,h77,600,600,26
h3,h128,114,114,26
h32,h51,498,498,26
h32,h72,182,182,26
h16,h116,73,73,25
h20,h26,280,280,25
h22,h69,107,107,25
h25,h131,236,236,25
h3,h106,28,28,25
h9,h141,744,744,25
h13,h93,344,344,24
h25,h6,261,261,24
h4,h113,648,648,24
h6,h77,62,62,24
h7,h30,540,540,24
h9,h49,569,569,24
h10,h102,764,764,23
h13,h15,311,311,23
h14,h107,472,472,23
h20,h112,356,356,23
h26,h42,150,150,23
h27,h91,496,496,23
h30,h95,467,467,23
h21,h117,378,378,22
h24,h28,462,462,22
h25,h131,299,299,22
h27,h132,420,420,21
h31,h12,677,677,21
h5,h30,164,164,21
h15,h78,120,120,20
h18,h142,620,620,20
h18,h48,480,480,20
h2,h141,342,342,20
h7,h58,610,610,20
h18,h24,651,651,19
h30,h143,557,557,19
h32,h20,208,208,19
h9,h31,387,387,19
h5,h131,559,559,18
h7,h22,485,485,18
h8,h98,663,663,18
h13,h144,612,612,17
h15,h17,518,518,17
h20,h129,330,330,17
h24,h14,635,635,17
h9,h39,298,298,17
h19,h6,143,143,16
h21,h102,695,695,13
h7,h129,36,36,13
h9,h3,149,149,13
h9,h67,352,352,13
h20,h58,331,331,12
h9,h31,570,570,12
h16,h32,159,159,11
h7,h126,304,304,11
h17,h28,758,758,5
h28,h23,605,605,5
