reorder_peak,flow_count
73,1
72,0
71,0
70,0
69,1
68,0
67,0
66,0
65,1
64,0
63,0
62,1
61,1
60,0
59,2
58,1
57,0
56,1
55,0
54,2
53,0
52,3
51,2
50,12
49,26
48,30
47,26
46,31
45,34
44,27
43,28
42,32
41,39
40,34
39,35
38,36
37,29
36,36
35,34
34,39
33,32
32,41
31,34
30,34
29,29
28,22
27,18
26,25
25,19
24,26
23,19
22,17
21,19
20,18
19,15
18,13
17,7
16,6
15,8
14,15
13,9
12,11
11,6
10,13
9,14
8,9
7,16
6,8
5,8
4,13
3,14
2,19
1,16
0,0
