34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 10, starttime: 100, finishtime: 183, fct: 83, recvtput: 12.05 Gbps, sendtput: 21.74 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 10, starttime: 100, finishtime: 184, fct: 84, recvtput: 11.9 Gbps, sendtput: 21.28 Gbps

37, src: h22, dst: h144, sport: 38, dport: 38, flowsize: 10, starttime: 100, finishtime: 185, fct: 85, recvtput: 11.76 Gbps, sendtput: 20.83 Gbps

31, src: h6, dst: h144, sport: 32, dport: 32, flowsize: 10, starttime: 100, finishtime: 187, fct: 87, recvtput: 11.49 Gbps, sendtput: 20.0 Gbps

32, src: h7, dst: h144, sport: 33, dport: 33, flowsize: 10, starttime: 100, finishtime: 199, fct: 99, recvtput: 10.1 Gbps, sendtput: 14.49 Gbps

36, src: h21, dst: h144, sport: 37, dport: 37, flowsize: 10, starttime: 100, finishtime: 200, fct: 100, recvtput: 10.0 Gbps, sendtput: 13.51 Gbps

33, src: h8, dst: h144, sport: 34, dport: 34, flowsize: 10, starttime: 100, finishtime: 201, fct: 101, recvtput: 9.9 Gbps, sendtput: 12.66 Gbps

35, src: h10, dst: h144, sport: 36, dport: 36, flowsize: 10, starttime: 100, finishtime: 211, fct: 111, recvtput: 9.01 Gbps, sendtput: 11.24 Gbps

43, src: h38, dst: h144, sport: 44, dport: 44, flowsize: 10, starttime: 200, finishtime: 311, fct: 111, recvtput: 9.01 Gbps, sendtput: 16.95 Gbps

39, src: h24, dst: h144, sport: 40, dport: 40, flowsize: 10, starttime: 200, finishtime: 312, fct: 112, recvtput: 8.93 Gbps, sendtput: 16.67 Gbps

38, src: h23, dst: h144, sport: 39, dport: 39, flowsize: 10, starttime: 200, finishtime: 314, fct: 114, recvtput: 8.77 Gbps, sendtput: 16.13 Gbps

47, src: h42, dst: h144, sport: 48, dport: 48, flowsize: 10, starttime: 200, finishtime: 315, fct: 115, recvtput: 8.7 Gbps, sendtput: 15.87 Gbps

40, src: h25, dst: h144, sport: 41, dport: 41, flowsize: 10, starttime: 200, finishtime: 317, fct: 117, recvtput: 8.55 Gbps, sendtput: 15.38 Gbps

42, src: h37, dst: h144, sport: 43, dport: 43, flowsize: 10, starttime: 200, finishtime: 327, fct: 127, recvtput: 7.87 Gbps, sendtput: 12.35 Gbps

41, src: h26, dst: h144, sport: 42, dport: 42, flowsize: 10, starttime: 200, finishtime: 328, fct: 128, recvtput: 7.81 Gbps, sendtput: 11.9 Gbps

46, src: h41, dst: h144, sport: 47, dport: 47, flowsize: 10, starttime: 200, finishtime: 329, fct: 129, recvtput: 7.75 Gbps, sendtput: 11.49 Gbps

45, src: h40, dst: h144, sport: 46, dport: 46, flowsize: 10, starttime: 200, finishtime: 330, fct: 130, recvtput: 7.69 Gbps, sendtput: 11.24 Gbps

44, src: h39, dst: h144, sport: 45, dport: 45, flowsize: 10, starttime: 200, finishtime: 331, fct: 131, recvtput: 7.63 Gbps, sendtput: 10.87 Gbps

48, src: h53, dst: h144, sport: 49, dport: 49, flowsize: 10, starttime: 200, finishtime: 332, fct: 132, recvtput: 7.58 Gbps, sendtput: 10.53 Gbps

52, src: h57, dst: h144, sport: 53, dport: 53, flowsize: 10, starttime: 300, finishtime: 451, fct: 151, recvtput: 6.62 Gbps, sendtput: 9.9 Gbps

56, src: h71, dst: h144, sport: 57, dport: 57, flowsize: 10, starttime: 300, finishtime: 461, fct: 161, recvtput: 6.21 Gbps, sendtput: 9.8 Gbps

51, src: h56, dst: h144, sport: 52, dport: 52, flowsize: 10, starttime: 300, finishtime: 469, fct: 169, recvtput: 5.92 Gbps, sendtput: 9.71 Gbps

49, src: h54, dst: h144, sport: 50, dport: 50, flowsize: 10, starttime: 300, finishtime: 478, fct: 178, recvtput: 5.62 Gbps, sendtput: 9.62 Gbps

55, src: h70, dst: h144, sport: 56, dport: 56, flowsize: 10, starttime: 300, finishtime: 486, fct: 186, recvtput: 5.38 Gbps, sendtput: 9.52 Gbps

50, src: h55, dst: h144, sport: 51, dport: 51, flowsize: 10, starttime: 300, finishtime: 491, fct: 191, recvtput: 5.24 Gbps, sendtput: 9.43 Gbps

58, src: h73, dst: h144, sport: 59, dport: 59, flowsize: 10, starttime: 300, finishtime: 495, fct: 195, recvtput: 5.13 Gbps, sendtput: 9.35 Gbps

54, src: h69, dst: h144, sport: 55, dport: 55, flowsize: 10, starttime: 300, finishtime: 498, fct: 198, recvtput: 5.05 Gbps, sendtput: 9.26 Gbps

60, src: h85, dst: h144, sport: 61, dport: 61, flowsize: 10, starttime: 300, finishtime: 504, fct: 204, recvtput: 4.9 Gbps, sendtput: 9.01 Gbps

53, src: h58, dst: h144, sport: 54, dport: 54, flowsize: 10, starttime: 300, finishtime: 507, fct: 207, recvtput: 4.83 Gbps, sendtput: 8.93 Gbps

61, src: h86, dst: h144, sport: 62, dport: 62, flowsize: 10, starttime: 300, finishtime: 512, fct: 212, recvtput: 4.72 Gbps, sendtput: 8.77 Gbps

59, src: h74, dst: h144, sport: 60, dport: 60, flowsize: 10, starttime: 300, finishtime: 516, fct: 216, recvtput: 4.63 Gbps, sendtput: 8.7 Gbps

57, src: h72, dst: h144, sport: 58, dport: 58, flowsize: 10, starttime: 300, finishtime: 517, fct: 217, recvtput: 4.61 Gbps, sendtput: 8.62 Gbps

66, src: h101, dst: h144, sport: 67, dport: 67, flowsize: 10, starttime: 400, finishtime: 597, fct: 197, recvtput: 5.08 Gbps, sendtput: 8.26 Gbps

71, src: h106, dst: h144, sport: 72, dport: 72, flowsize: 10, starttime: 400, finishtime: 598, fct: 198, recvtput: 5.05 Gbps, sendtput: 8.2 Gbps

70, src: h105, dst: h144, sport: 71, dport: 71, flowsize: 10, starttime: 400, finishtime: 599, fct: 199, recvtput: 5.03 Gbps, sendtput: 8.13 Gbps

69, src: h104, dst: h144, sport: 70, dport: 70, flowsize: 10, starttime: 400, finishtime: 600, fct: 200, recvtput: 5.0 Gbps, sendtput: 8.06 Gbps

64, src: h89, dst: h144, sport: 65, dport: 65, flowsize: 10, starttime: 400, finishtime: 601, fct: 201, recvtput: 4.98 Gbps, sendtput: 8.0 Gbps

62, src: h87, dst: h144, sport: 63, dport: 63, flowsize: 10, starttime: 400, finishtime: 602, fct: 202, recvtput: 4.95 Gbps, sendtput: 7.94 Gbps

63, src: h88, dst: h144, sport: 64, dport: 64, flowsize: 10, starttime: 400, finishtime: 603, fct: 203, recvtput: 4.93 Gbps, sendtput: 7.87 Gbps

72, src: h115, dst: h144, sport: 73, dport: 73, flowsize: 10, starttime: 400, finishtime: 604, fct: 204, recvtput: 4.9 Gbps, sendtput: 7.81 Gbps

68, src: h103, dst: h144, sport: 69, dport: 69, flowsize: 10, starttime: 400, finishtime: 605, fct: 205, recvtput: 4.88 Gbps, sendtput: 7.46 Gbps

67, src: h102, dst: h144, sport: 68, dport: 68, flowsize: 10, starttime: 400, finishtime: 606, fct: 206, recvtput: 4.85 Gbps, sendtput: 7.41 Gbps

65, src: h90, dst: h144, sport: 66, dport: 66, flowsize: 10, starttime: 400, finishtime: 607, fct: 207, recvtput: 4.83 Gbps, sendtput: 7.09 Gbps

73, src: h116, dst: h144, sport: 74, dport: 74, flowsize: 10, starttime: 500, finishtime: 636, fct: 136, recvtput: 7.35 Gbps, sendtput: 9.01 Gbps

76, src: h119, dst: h144, sport: 77, dport: 77, flowsize: 10, starttime: 500, finishtime: 637, fct: 137, recvtput: 7.3 Gbps, sendtput: 8.93 Gbps

77, src: h120, dst: h144, sport: 78, dport: 78, flowsize: 10, starttime: 500, finishtime: 638, fct: 138, recvtput: 7.25 Gbps, sendtput: 8.85 Gbps

75, src: h118, dst: h144, sport: 76, dport: 76, flowsize: 10, starttime: 500, finishtime: 639, fct: 139, recvtput: 7.19 Gbps, sendtput: 8.77 Gbps

79, src: h122, dst: h144, sport: 80, dport: 80, flowsize: 10, starttime: 500, finishtime: 640, fct: 140, recvtput: 7.14 Gbps, sendtput: 8.7 Gbps

74, src: h117, dst: h144, sport: 75, dport: 75, flowsize: 10, starttime: 500, finishtime: 641, fct: 141, recvtput: 7.09 Gbps, sendtput: 8.62 Gbps

78, src: h121, dst: h144, sport: 79, dport: 79, flowsize: 10, starttime: 500, finishtime: 642, fct: 142, recvtput: 7.04 Gbps, sendtput: 8.33 Gbps

