71, src: h106, dst: h144, sport: 72, dport: 72, flowsize: 99, starttime: 1000, finishtime: 4771, fct: 3771, recvtput: 2.63 Gbps, sendtput: 2.64 Gbps

70, src: h105, dst: h144, sport: 71, dport: 71, flowsize: 99, starttime: 1000, finishtime: 4876, fct: 3876, recvtput: 2.55 Gbps, sendtput: 2.57 Gbps

42, src: h37, dst: h144, sport: 43, dport: 43, flowsize: 99, starttime: 1000, finishtime: 5086, fct: 4086, recvtput: 2.42 Gbps, sendtput: 2.44 Gbps

47, src: h42, dst: h144, sport: 48, dport: 48, flowsize: 99, starttime: 1000, finishtime: 5951, fct: 4951, recvtput: 2.0 Gbps, sendtput: 2.02 Gbps

28, src: h84, dst: h142, sport: 29, dport: 29, flowsize: 5000, starttime: 0, finishtime: 5957, fct: 5957, recvtput: 83.93 Gbps, sendtput: 84.57 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 99, starttime: 1000, finishtime: 5995, fct: 4995, recvtput: 1.98 Gbps, sendtput: 1.99 Gbps

77, src: h120, dst: h144, sport: 78, dport: 78, flowsize: 99, starttime: 1000, finishtime: 6004, fct: 5004, recvtput: 1.98 Gbps, sendtput: 1.99 Gbps

72, src: h115, dst: h144, sport: 73, dport: 73, flowsize: 99, starttime: 1000, finishtime: 6033, fct: 5033, recvtput: 1.97 Gbps, sendtput: 1.98 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 99, starttime: 1000, finishtime: 6123, fct: 5123, recvtput: 1.93 Gbps, sendtput: 1.94 Gbps

66, src: h101, dst: h144, sport: 67, dport: 67, flowsize: 99, starttime: 1000, finishtime: 6212, fct: 5212, recvtput: 1.9 Gbps, sendtput: 1.91 Gbps

39, src: h24, dst: h144, sport: 40, dport: 40, flowsize: 99, starttime: 1000, finishtime: 6283, fct: 5283, recvtput: 1.87 Gbps, sendtput: 1.88 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 6943, fct: 6943, recvtput: 72.01 Gbps, sendtput: 72.44 Gbps

60, src: h85, dst: h144, sport: 61, dport: 61, flowsize: 99, starttime: 1000, finishtime: 6970, fct: 5970, recvtput: 1.66 Gbps, sendtput: 1.67 Gbps

24, src: h20, dst: h138, sport: 25, dport: 25, flowsize: 5000, starttime: 0, finishtime: 7014, fct: 7014, recvtput: 71.29 Gbps, sendtput: 71.68 Gbps

15, src: h3, dst: h129, sport: 16, dport: 16, flowsize: 5000, starttime: 0, finishtime: 7022, fct: 7022, recvtput: 71.2 Gbps, sendtput: 71.69 Gbps

75, src: h118, dst: h144, sport: 76, dport: 76, flowsize: 99, starttime: 1000, finishtime: 7023, fct: 6023, recvtput: 1.64 Gbps, sendtput: 1.65 Gbps

41, src: h26, dst: h144, sport: 42, dport: 42, flowsize: 99, starttime: 1000, finishtime: 7057, fct: 6057, recvtput: 1.63 Gbps, sendtput: 1.64 Gbps

67, src: h102, dst: h144, sport: 68, dport: 68, flowsize: 99, starttime: 1000, finishtime: 7168, fct: 6168, recvtput: 1.61 Gbps, sendtput: 1.61 Gbps

45, src: h40, dst: h144, sport: 46, dport: 46, flowsize: 99, starttime: 1000, finishtime: 7176, fct: 6176, recvtput: 1.6 Gbps, sendtput: 1.61 Gbps

76, src: h119, dst: h144, sport: 77, dport: 77, flowsize: 99, starttime: 1000, finishtime: 7225, fct: 6225, recvtput: 1.59 Gbps, sendtput: 1.6 Gbps

22, src: h114, dst: h136, sport: 23, dport: 23, flowsize: 5000, starttime: 0, finishtime: 7396, fct: 7396, recvtput: 67.6 Gbps, sendtput: 67.96 Gbps

73, src: h116, dst: h144, sport: 74, dport: 74, flowsize: 99, starttime: 1000, finishtime: 7397, fct: 6397, recvtput: 1.55 Gbps, sendtput: 1.55 Gbps

53, src: h58, dst: h144, sport: 54, dport: 54, flowsize: 99, starttime: 1000, finishtime: 7901, fct: 6901, recvtput: 1.43 Gbps, sendtput: 1.44 Gbps

37, src: h22, dst: h144, sport: 38, dport: 38, flowsize: 99, starttime: 1000, finishtime: 8065, fct: 7065, recvtput: 1.4 Gbps, sendtput: 1.41 Gbps

57, src: h72, dst: h144, sport: 58, dport: 58, flowsize: 99, starttime: 1000, finishtime: 8140, fct: 7140, recvtput: 1.39 Gbps, sendtput: 1.39 Gbps

61, src: h86, dst: h144, sport: 62, dport: 62, flowsize: 99, starttime: 1000, finishtime: 8259, fct: 7259, recvtput: 1.36 Gbps, sendtput: 1.37 Gbps

43, src: h38, dst: h144, sport: 44, dport: 44, flowsize: 99, starttime: 1000, finishtime: 8328, fct: 7328, recvtput: 1.35 Gbps, sendtput: 1.36 Gbps

18, src: h51, dst: h132, sport: 19, dport: 19, flowsize: 5000, starttime: 0, finishtime: 8492, fct: 8492, recvtput: 58.88 Gbps, sendtput: 59.08 Gbps

54, src: h69, dst: h144, sport: 55, dport: 55, flowsize: 99, starttime: 1000, finishtime: 9032, fct: 8032, recvtput: 1.23 Gbps, sendtput: 1.24 Gbps

63, src: h88, dst: h144, sport: 64, dport: 64, flowsize: 99, starttime: 1000, finishtime: 9174, fct: 8174, recvtput: 1.21 Gbps, sendtput: 1.22 Gbps

49, src: h54, dst: h144, sport: 50, dport: 50, flowsize: 99, starttime: 1000, finishtime: 9219, fct: 8219, recvtput: 1.2 Gbps, sendtput: 1.21 Gbps

50, src: h55, dst: h144, sport: 51, dport: 51, flowsize: 99, starttime: 1000, finishtime: 9324, fct: 8324, recvtput: 1.19 Gbps, sendtput: 1.2 Gbps

40, src: h25, dst: h144, sport: 41, dport: 41, flowsize: 99, starttime: 1000, finishtime: 9386, fct: 8386, recvtput: 1.18 Gbps, sendtput: 1.19 Gbps

