flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h22,h131,588,588,75
h12,h32,404,404,67
h7,h23,719,719,60
h27,h70,291,291,55
h12,h95,516,516,53
h25,h2,676,676,52
h4,h15,335,335,52
h17,h28,674,674,50
h21,h84,70,70,50
h7,h22,485,485,50
h9,h92,323,323,50
h1,h24,765,765,49
h14,h23,325,325,49
h21,h1,345,345,49
h30,h54,156,156,49
h10,h102,764,764,48
h12,h110,500,500,48
h15,h125,616,616,48
h26,h4,370,370,48
h27,h7,266,266,48
h29,h39,742,742,48
h31,h58,113,113,48
h32,h70,125,125,48
h8,h57,24,24,48
h9,h46,322,322,48
h13,h43,444,444,47
h2,h141,463,463,47
h30,h133,751,751,47
h9,h67,352,352,47
h11,h52,326,326,46
h18,h55,732,732,46
h26,h124,231,231,46
h7,h48,160,160,46
h8,h46,598,598,46
h11,h43,603,603,45
h15,h89,459,459,45
h23,h30,363,363,45
h25,h139,37,37,45
h26,h131,80,80,45
h32,h63,380,380,45
h5,h76,412,412,45
h9,h49,569,569,45
h15,h84,346,346,44
h2,h109,490,490,44
h24,h7,713,713,44
h25,h99,238,238,44
h27,h34,666,666,44
h3,h26,630,630,44
h31,h59,29,29,44
h5,h109,538,538,44
h16,h44,574,574,43
h18,h48,480,480,43
h2,h141,342,342,43
h27,h132,420,420,43
h29,h116,317,317,43
h32,h72,182,182,43
h4,h15,526,526,43
h7,h58,610,610,43
h10,h105,475,475,42
h12,h132,27,27,42
h21,h56,410,410,42
h3,h19,195,195,42
h30,h55,414,414,42
h32,h33,704,704,42
h6,h70,132,132,42
h13,h15,311,311,41
h15,h62,527,527,41
h19,h3,643,643,41
h2,h86,561,561,41
h24,h28,462,462,41
h32,h30,360,360,41
h9,h48,528,528,41
h15,h75,641,641,40
h24,h120,329,329,40
h24,h17,271,271,40
h25,h131,236,236,40
h3,h24,729,729,40
h32,h121,76,76,40
h32,h33,385,385,40
h5,h100,407,407,40
h6,h87,340,340,40
h15,h98,74,74,39
h25,h84,611,611,39
h29,h49,524,524,39
h4,h51,607,607,39
h5,h34,738,738,39
h7,h15,457,457,39
h10,h28,110,110,38
h13,h97,341,341,38
h14,h53,301,301,38
h18,h142,620,620,38
h18,h27,460,460,38
h21,h117,378,378,38
h21,h21,770,770,38
h28,h142,402,402,38
h9,h25,390,390,38
h11,h134,739,739,37
h13,h78,494,494,37
h18,h29,517,517,37
h29,h82,510,510,37
h3,h119,256,256,37
h32,h88,16,16,37
h6,h66,343,343,37
h6,h69,720,720,37
h11,h70,95,95,36
h12,h122,25,25,36
h12,h124,451,451,36
h14,h130,302,302,36
h23,h138,395,395,36
h26,h68,375,375,36
h31,h12,677,677,36
h4,h111,481,481,36
h5,h130,435,435,36
h19,h124,227,227,35
h20,h35,536,536,35
h22,h132,157,157,35
h22,h80,532,532,35
h26,h117,737,737,35
h6,h77,62,62,35
h7,h72,454,454,35
h9,h89,488,488,35
h14,h107,472,472,34
h14,h118,213,213,34
h14,h41,568,568,34
h14,h99,265,265,34
h15,h85,640,640,34
h16,h68,571,571,34
h27,h100,683,683,34
h27,h140,48,48,34
h28,h10,174,174,34
h5,h64,300,300,34
h14,h108,424,424,33
h18,h57,507,507,33
h2,h121,730,730,33
h27,h127,433,433,33
h3,h128,114,114,33
h31,h68,45,45,33
h8,h98,57,57,33
h13,h57,615,615,32
h2,h82,391,391,32
h24,h54,318,318,32
h25,h6,261,261,32
