flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h10,h70,1341,1341,57
h16,h6,261,261,55
h17,h32,404,404,52
h19,h18,888,888,52
h7,h6,1492,1492,52
h27,h19,1957,1957,51
h3,h33,385,385,51
h10,h130,302,302,50
h11,h116,1528,1528,49
h11,h13,649,649,49
h18,h24,814,814,49
h26,h11,5,5,49
h7,h22,642,642,49
h10,h136,2229,2229,48
h10,h24,1166,1166,48
h12,h16,565,565,48
h12,h56,954,954,48
h13,h14,1862,1862,48
h19,h106,1634,1634,48
h27,h134,924,924,48
h27,h27,460,460,48
h28,h54,2016,2016,48
h29,h59,1707,1707,48
h3,h69,1736,1736,48
h30,h121,1354,1354,48
h10,h43,619,619,47
h10,h53,725,725,47
h13,h69,1412,1412,47
h14,h99,1594,1594,47
h16,h7,1714,1714,47
h17,h113,1878,1878,47
h19,h111,1113,1113,47
h2,h66,343,343,47
h22,h119,1426,1426,47
h24,h69,1651,1651,47
h32,h48,1089,1089,47
h5,h57,910,910,47
h5,h97,1522,1522,47
h9,h115,1011,1011,47
h12,h123,1925,1925,46
h13,h102,764,764,46
h15,h47,52,52,46
h17,h105,627,627,46
h17,h11,837,837,46
h17,h139,1225,1225,46
h18,h71,775,775,46
h19,h10,86,86,46
h20,h97,2012,2012,46
h23,h137,1430,1430,46
h26,h120,1809,1809,46
h26,h26,630,630,46
h28,h118,1646,1646,46
h3,h28,674,674,46
h3,h51,1757,1757,46
h31,h12,677,677,46
h4,h5,94,94,46
h4,h81,1005,1005,46
h9,h94,1995,1995,46
h1,h33,1364,1364,45
h11,h107,409,409,45
h11,h57,24,24,45
h13,h90,1176,1176,45
h15,h34,1920,1920,45
h17,h6,42,42,45
h17,h68,1931,1931,45
h2,h17,1326,1326,45
h20,h48,1530,1530,45
h22,h42,1660,1660,45
h24,h100,407,407,45
h24,h143,994,994,45
h24,h42,916,916,45
h3,h48,692,692,45
h32,h139,37,37,45
h6,h134,1765,1765,45
h8,h40,756,756,45
h14,h106,1633,1633,44
h14,h111,1964,1964,44
h14,h47,1273,1273,44
h17,h32,1641,1641,44
h18,h128,1233,1233,44
h18,h24,1477,1477,44
h18,h55,1300,1300,44
h2,h38,1384,1384,44
h2,h55,1059,1059,44
h20,h117,456,456,44
h23,h110,1568,1568,44
h24,h39,991,991,44
h27,h132,2081,2081,44
h3,h10,993,993,44
h31,h144,1356,1356,44
h31,h7,388,388,44
h4,h104,2005,2005,44
h4,h110,1553,1553,44
h4,h15,526,526,44
h5,h106,28,28,44
h6,h60,1374,1374,44
h7,h97,1515,1515,44
h9,h72,1331,1331,44
h11,h16,2153,2153,43
h13,h53,301,301,43
h15,h132,562,562,43
h19,h15,1301,1301,43
h19,h30,1105,1105,43
h19,h67,1938,1938,43
h20,h83,1044,1044,43
h22,h78,120,120,43
h25,h12,808,808,43
h26,h35,1207,1207,43
h26,h70,1677,1677,43
h32,h106,818,818,43
h4,h141,463,463,43
h6,h32,434,434,43
h6,h57,507,507,43
h6,h69,107,107,43
h8,h120,1511,1511,43
h8,h86,880,880,43
h9,h142,402,402,43
h9,h87,2119,2119,43
h10,h38,292,292,42
h13,h62,1322,1322,42
h13,h95,516,516,42
h15,h59,949,949,42
h17,h83,1226,1226,42
h2,h51,1796,1796,42
h22,h56,410,410,42
h25,h143,557,557,42
