queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
1 1 0.0645 0.0645 0
0 2 0.0604 0.1894 0
0 3 0.0565 0.3707 0
1 1 0.1173 0.4113 0
2 2 0.2388 0.5138 0
0 3 0.2234 0.6742 0
0 4 0.209 0.8888 0
2 2 0.3245 0.9605 0
3 3 0.4971 1.0921 0
0 4 0.4651 1.2797 0
0 5 0.4351 1.5197 0
3 3 0.6005 1.6152 0
4 4 0.8199 1.769 0
0 5 0.767 1.9775 0
0 6 0.7175 2.237 0
4 4 0.9293 2.3508 0
5 5 1.1919 2.5217 0
0 6 1.115 2.7461 0
0 7 1.0431 3.0205 0
5 5 1.2983 3.1482 0
6 6 1.6017 3.3322 0
0 7 1.4983 3.5689 0
0 8 1.4017 3.8547 0
6 6 1.6983 3.9931 0
7 7 2.0404 4.1871 0
0 8 1.9087 4.4331 0
0 9 1.7856 4.7278 0
7 7 2.122 4.8744 0
8 8 2.5012 5.076 0
0 9 2.3399 5.3292 0
0 10 2.1889 5.6305 0
8 8 2.5638 5.7834 0
9 9 2.9791 5.9909 0
0 10 2.7869 6.2496 0
0 11 2.6071 6.556 0
9 9 3.0195 6.7137 0
10 10 3.4699 6.9257 0
0 11 3.246 7.1886 0
0 12 3.0366 7.499 0
10 10 3.4858 7.6604 0
11 11 3.9706 7.8758 0
0 12 3.7145 8.1419 0
0 13 3.4748 8.4553 0
11 11 3.9603 8.6195 0
12 12 4.479 8.8376 0
0 13 4.19 9.1061 0
0 14 3.9197 9.4219 0
12 12 4.441 9.5882 0
13 13 4.9932 9.8083 0
0 14 4.6711 10.0787 0
0 15 4.3697 10.3962 0
13 13 4.9265 10.5642 0
14 14 5.5119 10.7859 0
0 15 5.1563 11.0578 0
0 16 4.8236 11.3766 0
14 14 5.4156 11.5459 0
15 15 6.034 11.7687 0
0 16 5.6447 12.0417 0
0 17 5.2805 12.3616 0
15 15 5.9076 12.5318 0
16 16 6.5587 12.7556 0
0 17 6.1356 13.0294 0
0 18 5.7397 13.3501 0
16 16 6.4017 13.521 0
17 17 7.0854 13.7455 0
0 18 6.6283 14.02 0
0 19 6.2007 14.3413 0
17 17 6.8974 14.5128 0
18 18 7.6137 14.7378 0
0 19 7.1225 15.0128 0
0 20 6.663 15.3345 0
18 18 7.3944 15.5065 0
19 19 8.1432 15.7319 0
0 20 7.6178 16.0072 0
0 21 7.1263 16.3294 0
19 19 7.8924 16.5017 0
20 20 8.6735 16.7274 0
0 21 8.1139 17.003 0
0 22 7.5904 17.3254 0
0 15 7.1007 17.1754 0
0 14 6.6426 16.9705 0
13 13 7.0528 16.7143 0
0 14 6.5978 16.5392 0
0 12 6.1721 16.2464 0
0 13 5.7739 16.0369 0
11 11 6.1111 15.712 0
0 11 5.7168 15.408 0
0 10 5.348 15.0591 0
0 9 5.0029 14.6682 0
8 8 5.1963 14.238 0
0 8 4.8611 13.8355 0
0 9 4.5474 13.5235 0
0 6 4.2541 13.0381 0
5 5 4.3022 12.5196 0
0 6 4.0246 12.0989 0
0 5 3.765 11.6409 0
0 3 3.5221 11.0835 0
0 4 3.2948 10.6265 0
2 2 3.2113 10.0699 0
0 2 3.0041 9.5493 0
0 1 2.8103 8.9977 0
0 0 2.629 8.4172 0
0 0 2.4594 7.8742 0
0 0 2.3007 7.3662 0
0 1 2.1523 6.9554 0
0 0 2.0134 6.5067 0
0 0 1.8835 6.0869 0
0 0 1.762 5.6942 0
0 1 1.6483 5.3914 0
0 0 1.542 5.0435 0
0 1 1.4425 4.7827 0
0 0 1.3494 4.4741 0
0 0 1.2624 4.1854 0
0 0 1.1809 3.9154 0
0 0 1.1047 3.6628 0
0 0 1.0335 3.4265 0
0 0 0.9668 3.2054 0
0 1 0.9044 3.0631 0
0 0 0.8461 2.8655 0
0 0 0.7915 2.6807 0
0 1 0.7404 2.5722 0
0 0 0.6927 2.4063 0
0 0 0.648 2.251 0
0 0 0.6062 2.1058 0
0 1 0.5671 2.0345 0
0 0 0.5305 1.9032 0
0 0 0.4962 1.7804 0
0 0 0.4642 1.6656 0
0 0 0.4343 1.5581 0
0 0 0.4063 1.4576 0
0 0 0.3801 1.3635 0
0 1 0.3555 1.3401 0
0 0 0.3326 1.2536 0
0 0 0.3111 1.1727 0
0 0 0.2911 1.0971 0
0 1 0.2723 1.0908 0
0 0 0.2547 1.0204 0
0 1 0.2383 1.0191 0
0 0 0.2229 0.9534 0
0 0 0.2085 0.8919 0
0 0 0.1951 0.8343 0
0 0 0.1825 0.7805 0
0 0 0.1707 0.7301 0
0 0 0.1597 0.683 0
0 0 0.1494 0.639 0
0 0 0.1398 0.5977 0
0 0 0.1307 0.5592 0
0 0 0.1223 0.5231 0
0 0 0.1144 0.4894 0
0 0 0.107 0.4578 0
0 0 0.1001 0.4283 0
0 0 0.0937 0.4006 0
0 0 0.0876 0.3748 0
0 1 0.082 0.4151 0
0 0 0.0767 0.3883 0
0 0 0.0717 0.3633 0
0 0 0.0671 0.3398 0
0 0 0.0628 0.3179 0
0 1 0.0587 0.3619 0
0 0 0.0549 0.3386 0
0 0 0.0514 0.3167 0
0 1 0.0481 0.3608 0
0 0 0.045 0.3375 0
0 0 0.0421 0.3158 0
0 0 0.0394 0.2954 0
0 0 0.0368 0.2763 0
0 0 0.0344 0.2585 0
0 0 0.0322 0.2418 0
0 0 0.0301 0.2262 0
0 1 0.0282 0.2761 0
0 0 0.0264 0.2583 0
0 0 0.0247 0.2417 0
0 0 0.0231 0.2261 0
0 0 0.0216 0.2115 0
0 1 0.0202 0.2624 0
0 0 0.0189 0.2454 0
0 0 0.0177 0.2296 0
