queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 1 0.0 0.0645 0
0 0 0.0 0.0604 0
0 1 0.0 0.121 0
0 0 0.0 0.1132 0
0 1 0.0 0.1704 0
0 0 0.0 0.1594 0
0 1 0.0 0.2136 0
0 0 0.0 0.1998 0
0 1 0.0 0.2515 0
0 0 0.0 0.2352 0
0 1 0.0 0.2846 0
0 0 0.0 0.2662 0
0 1 0.0 0.3136 0
0 0 0.0 0.2933 0
0 1 0.0 0.3389 0
0 0 0.0 0.3171 0
0 0 0.0 0.2966 0
0 0 0.0 0.2775 0
0 0 0.0 0.2596 0
0 0 0.0 0.2428 0
0 0 0.0 0.2272 0
0 0 0.0 0.2125 0
0 0 0.0 0.1988 0
0 0 0.0 0.186 0
0 0 0.0 0.174 0
0 0 0.0 0.1627 0
0 0 0.0 0.1522 0
0 0 0.0 0.1424 0
0 0 0.0 0.1332 0
0 0 0.0 0.1246 0
0 0 0.0 0.1166 0
0 0 0.0 0.1091 0
0 0 0.0 0.102 0
0 0 0.0 0.0955 0
0 0 0.0 0.0893 0
0 0 0.0 0.0835 0
0 0 0.0 0.0781 0
0 0 0.0 0.0731 0
0 0 0.0 0.0684 0
0 0 0.0 0.064 0
0 0 0.0 0.0598 0
0 0 0.0 0.056 0
0 0 0.0 0.0524 0
0 0 0.0 0.049 0
0 0 0.0 0.0458 0
0 0 0.0 0.0429 0
0 0 0.0 0.0401 0
0 0 0.0 0.0375 0
0 0 0.0 0.0351 0
0 0 0.0 0.0328 0
0 0 0.0 0.0307 0
0 0 0.0 0.0287 0
0 0 0.0 0.0269 0
0 0 0.0 0.0251 0
0 0 0.0 0.0235 0
0 0 0.0 0.022 0
0 0 0.0 0.0206 0
0 0 0.0 0.0193 0
0 0 0.0 0.018 0
0 0 0.0 0.0169 0
0 0 0.0 0.0158 0
0 0 0.0 0.0148 0
0 0 0.0 0.0138 0
0 0 0.0 0.0129 0
0 0 0.0 0.0121 0
0 0 0.0 0.0113 0
0 0 0.0 0.0106 0
0 1 0.0 0.0744 0
0 0 0.0 0.0696 0
0 1 0.0 0.1296 0
0 0 0.0 0.1213 0
0 1 0.0 0.178 0
0 0 0.0 0.1665 0
0 1 0.0 0.2203 0
0 0 0.0 0.206 0
0 1 0.0 0.2573 0
0 0 0.0 0.2407 0
0 1 0.0 0.2897 0
0 0 0.0 0.271 0
0 1 0.0 0.318 0
0 0 0.0 0.2975 0
0 1 0.0 0.3428 0
0 0 0.0 0.3207 0
0 0 0.0 0.3 0
0 0 0.0 0.2806 0
0 0 0.0 0.2625 0
0 0 0.0 0.2456 0
0 0 0.0 0.2298 0
0 0 0.0 0.2149 0
0 0 0.0 0.2011 0
0 0 0.0 0.1881 0
0 0 0.0 0.176 0
0 1 0.0 0.2291 0
0 0 0.0 0.2143 0
0 0 0.0 0.2005 0
0 1 0.0 0.2521 0
0 0 0.0 0.2358 0
0 0 0.0 0.2206 0
0 1 0.0 0.2709 0
0 0 0.0 0.2534 0
0 1 0.0 0.3016 0
0 0 0.0 0.2821 0
0 1 0.0 0.3284 0
0 0 0.0 0.3073 0
0 1 0.0 0.3519 0
0 0 0.0 0.3292 0
0 1 0.0 0.3725 0
0 0 0.0 0.3485 0
0 1 0.0 0.3905 0
0 0 0.0 0.3653 0
0 1 0.0 0.4063 0
0 0 0.0 0.3801 0
0 1 0.0 0.4201 0
0 0 0.0 0.393 0
0 1 0.0 0.4321 0
0 0 0.0 0.4042 0
0 1 0.0 0.4427 0
0 0 0.0 0.4141 0
0 1 0.0 0.4519 0
0 0 0.0 0.4228 0
0 1 0.0 0.46 0
0 0 0.0 0.4303 0
0 1 0.0 0.4671 0
0 0 0.0 0.4369 0
0 1 0.0 0.4733 0
0 0 0.0 0.4427 0
0 1 0.0 0.4787 0
0 0 0.0 0.4478 0
0 0 0.0 0.4189 0
0 0 0.0 0.3919 0
0 0 0.0 0.3666 0
0 0 0.0 0.343 0
0 1 0.0 0.3853 0
0 0 0.0 0.3605 0
0 0 0.0 0.3372 0
0 1 0.0 0.38 0
0 0 0.0 0.3555 0
0 0 0.0 0.3325 0
0 1 0.0 0.3756 0
0 0 0.0 0.3514 0
0 0 0.0 0.3287 0
0 1 0.0 0.372 0
0 0 0.0 0.348 0
0 1 0.0 0.3901 0
0 0 0.0 0.3649 0
0 1 0.0 0.4059 0
0 0 0.0 0.3797 0
0 1 0.0 0.4197 0
0 0 0.0 0.3926 0
0 0 0.0 0.3673 0
0 0 0.0 0.3436 0
0 0 0.0 0.3214 0
0 0 0.0 0.3007 0
0 0 0.0 0.2813 0
0 0 0.0 0.2632 0
0 0 0.0 0.2462 0
0 0 0.0 0.2303 0
0 0 0.0 0.2154 0
0 0 0.0 0.2015 0
0 0 0.0 0.1885 0
0 0 0.0 0.1764 0
0 0 0.0 0.165 0
0 0 0.0 0.1543 0
0 0 0.0 0.1444 0
0 0 0.0 0.1351 0
0 0 0.0 0.1264 0
0 0 0.0 0.1182 0
0 0 0.0 0.1106 0
0 0 0.0 0.1034 0
0 0 0.0 0.0968 0
0 0 0.0 0.0905 0
0 0 0.0 0.0847 0
0 0 0.0 0.0792 0
0 0 0.0 0.0741 0
0 0 0.0 0.0693 0
0 0 0.0 0.0649 0
0 0 0.0 0.0607 0
0 0 0.0 0.0568 0
0 0 0.0 0.0531 0
0 0 0.0 0.0497 0
0 0 0.0 0.0465 0
0 0 0.0 0.0435 0
0 0 0.0 0.0407 0
0 0 0.0 0.038 0
0 0 0.0 0.0356 0
0 0 0.0 0.0333 0
0 0 0.0 0.0311 0
0 0 0.0 0.0291 0
0 0 0.0 0.0273 0
0 0 0.0 0.0255 0
0 0 0.0 0.0239 0
0 0 0.0 0.0223 0
0 0 0.0 0.0209 0
0 0 0.0 0.0195 0
0 0 0.0 0.0183 0
0 0 0.0 0.0171 0
0 0 0.0 0.016 0
0 0 0.0 0.015 0
0 0 0.0 0.014 0
0 0 0.0 0.0131 0
0 0 0.0 0.0122 0
0 0 0.0 0.0115 0
0 0 0.0 0.0107 0
0 0 0.0 0.01 0
0 0 0.0 0.0094 0
0 0 0.0 0.0088 0
0 0 0.0 0.0082 0
0 0 0.0 0.0077 0
0 0 0.0 0.0072 0
0 0 0.0 0.0067 0
0 0 0.0 0.0063 0
0 0 0.0 0.0059 0
0 0 0.0 0.0055 0
0 0 0.0 0.0051 0
0 0 0.0 0.0048 0
0 0 0.0 0.0045 0
0 0 0.0 0.0042 0
0 0 0.0 0.0039 0
0 0 0.0 0.0037 0
0 0 0.0 0.0034 0
0 0 0.0 0.0032 0
0 0 0.0 0.003 0
0 0 0.0 0.0028 0
0 0 0.0 0.0026 0
0 0 0.0 0.0025 0
0 0 0.0 0.0023 0
0 0 0.0 0.0022 0
0 0 0.0 0.002 0
0 0 0.0 0.0019 0
0 0 0.0 0.0018 0
0 0 0.0 0.0017 0
0 0 0.0 0.0015 0
0 0 0.0 0.0014 0
0 0 0.0 0.0014 0
0 0 0.0 0.0013 0
