queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
1 1 0.0645 0.0645 0
1 1 0.1249 0.1249 0
1 1 0.1813 0.1813 0
1 1 0.2341 0.2341 0
1 1 0.2836 0.2836 0
2 2 0.3943 0.3943 0
2 2 0.4979 0.4979 0
2 2 0.5948 0.5948 0
2 2 0.6855 0.6855 0
2 2 0.7703 0.7703 0
3 3 0.9141 0.9141 0
0 0 0.8551 0.8551 0
0 0 0.8 0.8 0
1 1 0.8129 0.8129 0
1 1 0.825 0.825 0
2 2 0.9008 0.9008 0
2 2 0.9717 0.9717 0
2 2 1.038 1.038 0
2 2 1.1001 1.1001 0
3 3 1.2227 1.2227 0
2 2 1.2728 1.2728 0
3 3 1.3842 1.3842 0
3 3 1.4885 1.4885 0
3 3 1.586 1.586 0
3 3 1.6772 1.6772 0
4 4 1.8271 1.8271 0
3 3 1.9028 1.9028 0
3 3 1.9735 1.9735 0
4 4 2.1043 2.1043 0
3 3 2.1621 2.1621 0
3 3 2.2161 2.2161 0
4 4 2.3312 2.3312 0
3 3 2.3744 2.3744 0
4 4 2.4792 2.4792 0
4 4 2.5774 2.5774 0
1 1 2.4756 2.4756 0
1 1 2.3804 2.3804 0
0 0 2.2268 2.2268 0
0 0 2.0832 2.0832 0
0 0 1.9488 1.9488 0
0 0 1.823 1.823 0
0 0 1.7054 1.7054 0
0 0 1.5954 1.5954 0
0 0 1.4925 1.4925 0
0 0 1.3962 1.3962 0
0 0 1.3061 1.3061 0
0 0 1.2218 1.2218 0
0 0 1.143 1.143 0
0 0 1.0693 1.0693 0
0 0 1.0003 1.0003 0
0 0 0.9357 0.9357 0
0 0 0.8754 0.8754 0
0 0 0.8189 0.8189 0
0 0 0.7661 0.7661 0
0 0 0.7166 0.7166 0
0 0 0.6704 0.6704 0
0 0 0.6272 0.6272 0
0 0 0.5867 0.5867 0
0 0 0.5488 0.5488 0
0 1 0.5134 0.5779 0
0 0 0.4803 0.5407 0
0 1 0.4493 0.5703 0
0 0 0.4203 0.5335 0
0 0 0.3932 0.4991 0
0 1 0.3678 0.5314 0
0 0 0.3441 0.4971 0
0 1 0.3219 0.5296 0
0 0 0.3011 0.4954 0
0 1 0.2817 0.528 0
0 0 0.2635 0.4939 0
0 0 0.2465 0.462 0
0 1 0.2306 0.4967 0
0 0 0.2158 0.4647 0
0 0 0.2018 0.4347 0
0 0 0.1888 0.4067 0
0 1 0.1766 0.4449 0
0 0 0.1652 0.4162 0
0 0 0.1546 0.3894 0
0 0 0.1446 0.3643 0
0 1 0.1353 0.4053 0
0 0 0.1265 0.3791 0
0 1 0.1184 0.4192 0
0 0 0.1107 0.3921 0
0 1 0.1036 0.4314 0
0 0 0.0969 0.4035 0
0 1 0.0907 0.442 0
0 0 0.0848 0.4135 0
0 0 0.0793 0.3868 0
0 0 0.0742 0.3619 0
0 0 0.0694 0.3385 0
0 0 0.065 0.3167 0
0 0 0.0608 0.2962 0
0 0 0.0568 0.2771 0
0 0 0.0532 0.2593 0
0 0 0.0497 0.2425 0
0 0 0.0465 0.2269 0
0 0 0.0435 0.2122 0
0 0 0.0407 0.1985 0
0 0 0.0381 0.1857 0
0 0 0.0356 0.1738 0
0 0 0.0333 0.1625 0
0 0 0.0312 0.1521 0
0 0 0.0292 0.1422 0
0 0 0.0273 0.1331 0
0 0 0.0255 0.1245 0
0 0 0.0239 0.1165 0
0 0 0.0223 0.1089 0
0 0 0.0209 0.1019 0
0 0 0.0196 0.0953 0
0 0 0.0183 0.0892 0
0 0 0.0171 0.0834 0
0 0 0.016 0.0781 0
0 0 0.015 0.073 0
0 0 0.014 0.0683 0
0 0 0.0131 0.0639 0
0 0 0.0123 0.0598 0
0 0 0.0115 0.0559 0
0 0 0.0107 0.0523 0
0 0 0.01 0.0489 0
0 0 0.0094 0.0458 0
0 0 0.0088 0.0428 0
0 0 0.0082 0.0401 0
0 0 0.0077 0.0375 0
0 0 0.0072 0.0351 0
0 0 0.0067 0.0328 0
0 0 0.0063 0.0307 0
0 0 0.0059 0.0287 0
0 0 0.0055 0.0269 0
0 0 0.0052 0.0251 0
0 0 0.0048 0.0235 0
0 0 0.0045 0.022 0
0 0 0.0042 0.0206 0
0 0 0.0039 0.0192 0
