34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 10, starttime: 100, finishtime: 168, fct: 68, recvtput: 14.71 Gbps, sendtput: 100.0 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 10, starttime: 100, finishtime: 169, fct: 69, recvtput: 14.49 Gbps, sendtput: 100.0 Gbps

37, src: h22, dst: h144, sport: 38, dport: 38, flowsize: 10, starttime: 100, finishtime: 170, fct: 70, recvtput: 14.29 Gbps, sendtput: 100.0 Gbps

31, src: h6, dst: h144, sport: 32, dport: 32, flowsize: 10, starttime: 100, finishtime: 172, fct: 72, recvtput: 13.89 Gbps, sendtput: 100.0 Gbps

36, src: h21, dst: h144, sport: 37, dport: 37, flowsize: 10, starttime: 100, finishtime: 182, fct: 82, recvtput: 12.2 Gbps, sendtput: 100.0 Gbps

32, src: h7, dst: h144, sport: 33, dport: 33, flowsize: 10, starttime: 100, finishtime: 200, fct: 100, recvtput: 10.0 Gbps, sendtput: 100.0 Gbps

33, src: h8, dst: h144, sport: 34, dport: 34, flowsize: 10, starttime: 100, finishtime: 201, fct: 101, recvtput: 9.9 Gbps, sendtput: 100.0 Gbps

35, src: h10, dst: h144, sport: 36, dport: 36, flowsize: 10, starttime: 100, finishtime: 202, fct: 102, recvtput: 9.8 Gbps, sendtput: 100.0 Gbps

43, src: h38, dst: h144, sport: 44, dport: 44, flowsize: 10, starttime: 200, finishtime: 296, fct: 96, recvtput: 10.42 Gbps, sendtput: 100.0 Gbps

39, src: h24, dst: h144, sport: 40, dport: 40, flowsize: 10, starttime: 200, finishtime: 297, fct: 97, recvtput: 10.31 Gbps, sendtput: 100.0 Gbps

38, src: h23, dst: h144, sport: 39, dport: 39, flowsize: 10, starttime: 200, finishtime: 299, fct: 99, recvtput: 10.1 Gbps, sendtput: 100.0 Gbps

47, src: h42, dst: h144, sport: 48, dport: 48, flowsize: 10, starttime: 200, finishtime: 300, fct: 100, recvtput: 10.0 Gbps, sendtput: 100.0 Gbps

40, src: h25, dst: h144, sport: 41, dport: 41, flowsize: 10, starttime: 200, finishtime: 302, fct: 102, recvtput: 9.8 Gbps, sendtput: 100.0 Gbps

71, src: h106, dst: h144, sport: 72, dport: 72, flowsize: 10, starttime: 400, finishtime: 487, fct: 87, recvtput: 11.49 Gbps, sendtput: 100.0 Gbps

70, src: h105, dst: h144, sport: 71, dport: 71, flowsize: 10, starttime: 400, finishtime: 488, fct: 88, recvtput: 11.36 Gbps, sendtput: 100.0 Gbps

69, src: h104, dst: h144, sport: 70, dport: 70, flowsize: 10, starttime: 400, finishtime: 489, fct: 89, recvtput: 11.24 Gbps, sendtput: 100.0 Gbps

64, src: h89, dst: h144, sport: 65, dport: 65, flowsize: 10, starttime: 400, finishtime: 490, fct: 90, recvtput: 11.11 Gbps, sendtput: 100.0 Gbps

62, src: h87, dst: h144, sport: 63, dport: 63, flowsize: 10, starttime: 400, finishtime: 491, fct: 91, recvtput: 10.99 Gbps, sendtput: 100.0 Gbps

42, src: h37, dst: h144, sport: 43, dport: 43, flowsize: 10, starttime: 200, finishtime: 1245, fct: 1045, recvtput: 0.96 Gbps, sendtput: 0.99 Gbps

41, src: h26, dst: h144, sport: 42, dport: 42, flowsize: 10, starttime: 200, finishtime: 1246, fct: 1046, recvtput: 0.96 Gbps, sendtput: 0.99 Gbps

46, src: h41, dst: h144, sport: 47, dport: 47, flowsize: 10, starttime: 200, finishtime: 1247, fct: 1047, recvtput: 0.96 Gbps, sendtput: 0.99 Gbps

45, src: h40, dst: h144, sport: 46, dport: 46, flowsize: 10, starttime: 200, finishtime: 1251, fct: 1051, recvtput: 0.95 Gbps, sendtput: 0.99 Gbps

44, src: h39, dst: h144, sport: 45, dport: 45, flowsize: 10, starttime: 200, finishtime: 1252, fct: 1052, recvtput: 0.95 Gbps, sendtput: 0.99 Gbps

48, src: h53, dst: h144, sport: 49, dport: 49, flowsize: 10, starttime: 200, finishtime: 1253, fct: 1053, recvtput: 0.95 Gbps, sendtput: 0.99 Gbps

52, src: h57, dst: h144, sport: 53, dport: 53, flowsize: 10, starttime: 300, finishtime: 1341, fct: 1041, recvtput: 0.96 Gbps, sendtput: 0.99 Gbps

56, src: h71, dst: h144, sport: 57, dport: 57, flowsize: 10, starttime: 300, finishtime: 1349, fct: 1049, recvtput: 0.95 Gbps, sendtput: 0.99 Gbps

55, src: h70, dst: h144, sport: 56, dport: 56, flowsize: 10, starttime: 300, finishtime: 1352, fct: 1052, recvtput: 0.95 Gbps, sendtput: 0.99 Gbps

51, src: h56, dst: h144, sport: 52, dport: 52, flowsize: 10, starttime: 300, finishtime: 1391, fct: 1091, recvtput: 0.92 Gbps, sendtput: 0.98 Gbps

49, src: h54, dst: h144, sport: 50, dport: 50, flowsize: 10, starttime: 300, finishtime: 1392, fct: 1092, recvtput: 0.92 Gbps, sendtput: 0.98 Gbps

50, src: h55, dst: h144, sport: 51, dport: 51, flowsize: 10, starttime: 300, finishtime: 1393, fct: 1093, recvtput: 0.91 Gbps, sendtput: 0.98 Gbps

