52, src: h116, dst: h144, sport: 53, dport: 53, flowsize: 99, starttime: 1000, finishtime: 4809, fct: 3809, recvtput: 2.6 Gbps, sendtput: 2.61 Gbps

53, src: h117, dst: h144, sport: 54, dport: 54, flowsize: 99, starttime: 1000, finishtime: 4923, fct: 3923, recvtput: 2.52 Gbps, sendtput: 2.54 Gbps

34, src: h22, dst: h144, sport: 35, dport: 35, flowsize: 99, starttime: 1000, finishtime: 5327, fct: 4327, recvtput: 2.29 Gbps, sendtput: 2.3 Gbps

22, src: h114, dst: h136, sport: 23, dport: 23, flowsize: 5000, starttime: 0, finishtime: 5499, fct: 5499, recvtput: 90.93 Gbps, sendtput: 91.71 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 5787, fct: 5787, recvtput: 86.4 Gbps, sendtput: 86.99 Gbps

49, src: h102, dst: h144, sport: 50, dport: 50, flowsize: 99, starttime: 1000, finishtime: 5993, fct: 4993, recvtput: 1.98 Gbps, sendtput: 2.0 Gbps

45, src: h85, dst: h144, sport: 46, dport: 46, flowsize: 99, starttime: 1000, finishtime: 6021, fct: 5021, recvtput: 1.97 Gbps, sendtput: 1.99 Gbps

35, src: h23, dst: h144, sport: 36, dport: 36, flowsize: 99, starttime: 1000, finishtime: 6056, fct: 5056, recvtput: 1.96 Gbps, sendtput: 1.97 Gbps

50, src: h103, dst: h144, sport: 51, dport: 51, flowsize: 99, starttime: 1000, finishtime: 6062, fct: 5062, recvtput: 1.96 Gbps, sendtput: 1.97 Gbps

31, src: h6, dst: h144, sport: 32, dport: 32, flowsize: 99, starttime: 1000, finishtime: 6063, fct: 5063, recvtput: 1.96 Gbps, sendtput: 1.97 Gbps

37, src: h38, dst: h144, sport: 38, dport: 38, flowsize: 99, starttime: 1000, finishtime: 6078, fct: 5078, recvtput: 1.95 Gbps, sendtput: 1.96 Gbps

24, src: h20, dst: h138, sport: 25, dport: 25, flowsize: 5000, starttime: 0, finishtime: 6082, fct: 6082, recvtput: 82.21 Gbps, sendtput: 82.75 Gbps

36, src: h37, dst: h144, sport: 37, dport: 37, flowsize: 99, starttime: 1000, finishtime: 6143, fct: 5143, recvtput: 1.92 Gbps, sendtput: 1.93 Gbps

40, src: h54, dst: h144, sport: 41, dport: 41, flowsize: 99, starttime: 1000, finishtime: 6157, fct: 5157, recvtput: 1.92 Gbps, sendtput: 1.93 Gbps

48, src: h101, dst: h144, sport: 49, dport: 49, flowsize: 99, starttime: 1000, finishtime: 6338, fct: 5338, recvtput: 1.85 Gbps, sendtput: 1.86 Gbps

28, src: h84, dst: h142, sport: 29, dport: 29, flowsize: 5000, starttime: 0, finishtime: 6382, fct: 6382, recvtput: 78.35 Gbps, sendtput: 78.89 Gbps

41, src: h55, dst: h144, sport: 42, dport: 42, flowsize: 99, starttime: 1000, finishtime: 6700, fct: 5700, recvtput: 1.74 Gbps, sendtput: 1.75 Gbps

55, src: h119, dst: h144, sport: 56, dport: 56, flowsize: 99, starttime: 1000, finishtime: 6976, fct: 5976, recvtput: 1.66 Gbps, sendtput: 1.68 Gbps

54, src: h118, dst: h144, sport: 55, dport: 55, flowsize: 99, starttime: 1000, finishtime: 7037, fct: 6037, recvtput: 1.64 Gbps, sendtput: 1.65 Gbps

18, src: h51, dst: h132, sport: 19, dport: 19, flowsize: 5000, starttime: 0, finishtime: 7081, fct: 7081, recvtput: 70.61 Gbps, sendtput: 70.9 Gbps

43, src: h70, dst: h144, sport: 44, dport: 44, flowsize: 99, starttime: 1000, finishtime: 7111, fct: 6111, recvtput: 1.62 Gbps, sendtput: 1.63 Gbps

38, src: h39, dst: h144, sport: 39, dport: 39, flowsize: 99, starttime: 1000, finishtime: 7163, fct: 6163, recvtput: 1.61 Gbps, sendtput: 1.61 Gbps

44, src: h71, dst: h144, sport: 45, dport: 45, flowsize: 99, starttime: 1000, finishtime: 7218, fct: 6218, recvtput: 1.59 Gbps, sendtput: 1.6 Gbps

6, src: h97, dst: h135, sport: 7, dport: 7, flowsize: 5000, starttime: 0, finishtime: 7240, fct: 7240, recvtput: 69.06 Gbps, sendtput: 69.34 Gbps

39, src: h53, dst: h144, sport: 40, dport: 40, flowsize: 99, starttime: 1000, finishtime: 7268, fct: 6268, recvtput: 1.58 Gbps, sendtput: 1.59 Gbps

47, src: h87, dst: h144, sport: 48, dport: 48, flowsize: 99, starttime: 1000, finishtime: 7272, fct: 6272, recvtput: 1.58 Gbps, sendtput: 1.59 Gbps

33, src: h21, dst: h144, sport: 34, dport: 34, flowsize: 99, starttime: 1000, finishtime: 7282, fct: 6282, recvtput: 1.58 Gbps, sendtput: 1.58 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 99, starttime: 1000, finishtime: 7285, fct: 6285, recvtput: 1.58 Gbps, sendtput: 1.58 Gbps

51, src: h115, dst: h144, sport: 52, dport: 52, flowsize: 99, starttime: 1000, finishtime: 7321, fct: 6321, recvtput: 1.57 Gbps, sendtput: 1.57 Gbps

46, src: h86, dst: h144, sport: 47, dport: 47, flowsize: 99, starttime: 1000, finishtime: 7969, fct: 6969, recvtput: 1.42 Gbps, sendtput: 1.43 Gbps

32, src: h7, dst: h144, sport: 33, dport: 33, flowsize: 99, starttime: 1000, finishtime: 7974, fct: 6974, recvtput: 1.42 Gbps, sendtput: 1.42 Gbps

42, src: h69, dst: h144, sport: 43, dport: 43, flowsize: 99, starttime: 1000, finishtime: 8212, fct: 7212, recvtput: 1.37 Gbps, sendtput: 1.38 Gbps

15, src: h3, dst: h129, sport: 16, dport: 16, flowsize: 5000, starttime: 0, finishtime: 8458, fct: 8458, recvtput: 59.12 Gbps, sendtput: 59.39 Gbps

8, src: h2, dst: h137, sport: 9, dport: 9, flowsize: 5000, starttime: 0, finishtime: 9113, fct: 9113, recvtput: 54.87 Gbps, sendtput: 55.11 Gbps

3, src: h49, dst: h132, sport: 4, dport: 4, flowsize: 5000, starttime: 0, finishtime: 10294, fct: 10294, recvtput: 48.57 Gbps, sendtput: 48.68 Gbps

14, src: h98, dst: h143, sport: 15, dport: 15, flowsize: 5000, starttime: 0, finishtime: 10482, fct: 10482, recvtput: 47.7 Gbps, sendtput: 47.81 Gbps

10, src: h34, dst: h139, sport: 11, dport: 11, flowsize: 5000, starttime: 0, finishtime: 10524, fct: 10524, recvtput: 47.51 Gbps, sendtput: 47.67 Gbps

1, src: h17, dst: h130, sport: 2, dport: 2, flowsize: 5000, starttime: 0, finishtime: 11164, fct: 11164, recvtput: 44.79 Gbps, sendtput: 44.95 Gbps

