69, src: h72, dst: h144, sport: 70, dport: 70, flowsize: 99, starttime: 1000, finishtime: 3993, fct: 2993, recvtput: 3.31 Gbps, sendtput: 3.33 Gbps

77, src: h87, dst: h144, sport: 78, dport: 78, flowsize: 99, starttime: 1000, finishtime: 4806, fct: 3806, recvtput: 2.6 Gbps, sendtput: 2.62 Gbps

94, src: h116, dst: h144, sport: 95, dport: 95, flowsize: 99, starttime: 1000, finishtime: 5012, fct: 4012, recvtput: 2.47 Gbps, sendtput: 2.48 Gbps

62, src: h58, dst: h144, sport: 63, dport: 63, flowsize: 99, starttime: 1000, finishtime: 5182, fct: 4182, recvtput: 2.37 Gbps, sendtput: 2.38 Gbps

81, src: h91, dst: h144, sport: 82, dport: 82, flowsize: 99, starttime: 1000, finishtime: 5875, fct: 4875, recvtput: 2.03 Gbps, sendtput: 2.04 Gbps

22, src: h114, dst: h136, sport: 23, dport: 23, flowsize: 5000, starttime: 0, finishtime: 5884, fct: 5884, recvtput: 84.98 Gbps, sendtput: 85.31 Gbps

96, src: h118, dst: h144, sport: 97, dport: 97, flowsize: 99, starttime: 1000, finishtime: 5893, fct: 4893, recvtput: 2.02 Gbps, sendtput: 2.03 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 5900, fct: 5900, recvtput: 84.75 Gbps, sendtput: 85.06 Gbps

60, src: h56, dst: h144, sport: 61, dport: 61, flowsize: 99, starttime: 1000, finishtime: 6077, fct: 5077, recvtput: 1.95 Gbps, sendtput: 1.96 Gbps

24, src: h20, dst: h138, sport: 25, dport: 25, flowsize: 5000, starttime: 0, finishtime: 6409, fct: 6409, recvtput: 78.02 Gbps, sendtput: 78.37 Gbps

100, src: h122, dst: h144, sport: 101, dport: 101, flowsize: 99, starttime: 1000, finishtime: 7018, fct: 6018, recvtput: 1.65 Gbps, sendtput: 1.65 Gbps

15, src: h3, dst: h129, sport: 16, dport: 16, flowsize: 5000, starttime: 0, finishtime: 8076, fct: 8076, recvtput: 61.91 Gbps, sendtput: 62.2 Gbps

87, src: h104, dst: h144, sport: 88, dport: 88, flowsize: 99, starttime: 1000, finishtime: 8111, fct: 7111, recvtput: 1.39 Gbps, sendtput: 1.4 Gbps

47, src: h29, dst: h144, sport: 48, dport: 48, flowsize: 99, starttime: 1000, finishtime: 8166, fct: 7166, recvtput: 1.38 Gbps, sendtput: 1.39 Gbps

102, src: h124, dst: h144, sport: 103, dport: 103, flowsize: 99, starttime: 1000, finishtime: 8211, fct: 7211, recvtput: 1.37 Gbps, sendtput: 1.38 Gbps

