65, src: h48, dst: h144, sport: 66, dport: 66, flowsize: 99, starttime: 1000, finishtime: 3907, fct: 2907, recvtput: 3.41 Gbps, sendtput: 3.43 Gbps

113, src: h112, dst: h144, sport: 114, dport: 114, flowsize: 99, starttime: 1000, finishtime: 4034, fct: 3034, recvtput: 3.26 Gbps, sendtput: 3.29 Gbps

38, src: h13, dst: h144, sport: 39, dport: 39, flowsize: 99, starttime: 1000, finishtime: 4047, fct: 3047, recvtput: 3.25 Gbps, sendtput: 3.27 Gbps

98, src: h93, dst: h144, sport: 99, dport: 99, flowsize: 99, starttime: 1000, finishtime: 4950, fct: 3950, recvtput: 2.51 Gbps, sendtput: 2.52 Gbps

91, src: h86, dst: h144, sport: 92, dport: 92, flowsize: 99, starttime: 1000, finishtime: 5101, fct: 4101, recvtput: 2.41 Gbps, sendtput: 2.43 Gbps

60, src: h43, dst: h144, sport: 61, dport: 61, flowsize: 99, starttime: 1000, finishtime: 5989, fct: 4989, recvtput: 1.98 Gbps, sendtput: 1.99 Gbps

41, src: h16, dst: h144, sport: 42, dport: 42, flowsize: 99, starttime: 1000, finishtime: 6203, fct: 5203, recvtput: 1.9 Gbps, sendtput: 1.91 Gbps

61, src: h44, dst: h144, sport: 62, dport: 62, flowsize: 99, starttime: 1000, finishtime: 6952, fct: 5952, recvtput: 1.66 Gbps, sendtput: 1.67 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 99, starttime: 1000, finishtime: 7077, fct: 6077, recvtput: 1.63 Gbps, sendtput: 1.64 Gbps

109, src: h108, dst: h144, sport: 110, dport: 110, flowsize: 99, starttime: 1000, finishtime: 7090, fct: 6090, recvtput: 1.63 Gbps, sendtput: 1.63 Gbps

101, src: h96, dst: h144, sport: 102, dport: 102, flowsize: 99, starttime: 1000, finishtime: 7099, fct: 6099, recvtput: 1.62 Gbps, sendtput: 1.63 Gbps

120, src: h121, dst: h144, sport: 121, dport: 121, flowsize: 99, starttime: 1000, finishtime: 7167, fct: 6167, recvtput: 1.61 Gbps, sendtput: 1.61 Gbps

57, src: h40, dst: h144, sport: 58, dport: 58, flowsize: 99, starttime: 1000, finishtime: 7168, fct: 6168, recvtput: 1.61 Gbps, sendtput: 1.61 Gbps

24, src: h20, dst: h138, sport: 25, dport: 25, flowsize: 5000, starttime: 0, finishtime: 7348, fct: 7348, recvtput: 68.05 Gbps, sendtput: 68.34 Gbps

11, src: h50, dst: h140, sport: 12, dport: 12, flowsize: 5000, starttime: 0, finishtime: 7905, fct: 7905, recvtput: 63.25 Gbps, sendtput: 63.54 Gbps

28, src: h84, dst: h142, sport: 29, dport: 29, flowsize: 5000, starttime: 0, finishtime: 8053, fct: 8053, recvtput: 62.09 Gbps, sendtput: 62.45 Gbps

93, src: h88, dst: h144, sport: 94, dport: 94, flowsize: 99, starttime: 1000, finishtime: 8106, fct: 7106, recvtput: 1.39 Gbps, sendtput: 1.4 Gbps

89, src: h80, dst: h144, sport: 90, dport: 90, flowsize: 99, starttime: 1000, finishtime: 8111, fct: 7111, recvtput: 1.39 Gbps, sendtput: 1.4 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 99, starttime: 1000, finishtime: 8194, fct: 7194, recvtput: 1.38 Gbps, sendtput: 1.38 Gbps

