flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h23,h28,487,487,55
h5,h110,1062,1062,54
h14,h106,927,927,53
h16,h4,511,511,53
h26,h144,1356,1356,53
h10,h57,910,910,52
h1,h128,214,214,51
h13,h101,1146,1146,51
h18,h95,467,467,51
h25,h32,885,885,51
h5,h30,164,164,51
h5,h99,265,265,51
h12,h23,874,874,50
h13,h143,1111,1111,50
h18,h13,440,440,50
h23,h131,631,631,50
h24,h80,532,532,50
h26,h76,225,225,50
h4,h95,141,141,50
h5,h22,1435,1435,50
h11,h49,772,772,49
h11,h58,920,920,49
h11,h72,1086,1086,49
h16,h48,1036,1036,49
h2,h80,1286,1286,49
h3,h32,793,793,49
h3,h88,755,755,49
h30,h40,1193,1193,49
h30,h6,894,894,49
h6,h143,557,557,49
h8,h20,728,728,49
h1,h24,765,765,48
h11,h103,184,184,48
h12,h77,600,600,48
h14,h47,1273,1273,48
h17,h42,1324,1324,48
h19,h100,407,407,48
h22,h135,763,763,48
h23,h6,42,42,48
h25,h12,1202,1202,48
h29,h1,366,366,48
h3,h66,82,82,48
h30,h41,1292,1292,48
h30,h60,1032,1032,48
h4,h55,1059,1059,48
h5,h25,1278,1278,48
h6,h70,1425,1425,48
h7,h2,1439,1439,48
h10,h88,1169,1169,47
h12,h30,363,363,47
h12,h56,589,589,47
h13,h57,24,24,47
h17,h6,740,740,47
h18,h115,644,644,47
h20,h80,836,836,47
h22,h120,1096,1096,47
h22,h13,649,649,47
h23,h68,375,375,47
h25,h122,883,883,47
h31,h119,754,754,47
h4,h69,720,720,47
h4,h78,494,494,47
h5,h29,1491,1491,47
h9,h130,293,293,47
h9,h3,149,149,47
h10,h40,1496,1496,46
h10,h83,1023,1023,46
h11,h2,676,676,46
h11,h46,598,598,46
h11,h62,1322,1322,46
h12,h78,848,848,46
h15,h125,616,616,46
h15,h46,322,322,46
h16,h31,1421,1421,46
h17,h116,152,152,46
h18,h11,837,837,46
h21,h33,385,385,46
h22,h49,998,998,46
h29,h133,1001,1001,46
h29,h76,1052,1052,46
h5,h20,800,800,46
h6,h56,954,954,46
h6,h69,1403,1403,46
h8,h43,444,444,46
h8,h43,603,603,46
h1,h39,742,742,45
h11,h56,172,172,45
h11,h70,1427,1427,45
h12,h141,858,858,45
h12,h44,262,262,45
h16,h79,1474,1474,45
h17,h127,791,791,45
h17,h16,162,162,45
h17,h28,110,110,45
h17,h60,469,469,45
h19,h26,1196,1196,45
h19,h84,611,611,45
h2,h56,862,862,45
h20,h52,881,881,45
h20,h63,394,394,45
h21,h35,933,933,45
h23,h138,395,395,45
h26,h48,1079,1079,45
h26,h89,1230,1230,45
h3,h42,916,916,45
h30,h103,268,268,45
h4,h135,1092,1092,45
h4,h15,526,526,45
h7,h10,174,174,45
h7,h33,1389,1389,45
h7,h90,1346,1346,45
h9,h4,1025,1025,45
h9,h6,143,143,45
h1,h23,161,161,44
h1,h75,867,867,44
h12,h130,866,866,44
h13,h128,1018,1018,44
h15,h88,855,855,44
h2,h121,730,730,44
h2,h72,1331,1331,44
h23,h54,318,318,44
h23,h88,1155,1155,44
h24,h84,1285,1285,44
h25,h82,216,216,44
h25,h9,1270,1270,44
h26,h87,1441,1441,44
