queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 1 0.0 0.0645 0
0 0 0.0 0.0604 0
0 0 0.0 0.0565 0
0 1 0.0 0.1173 0
0 0 0.0 0.1098 0
0 0 0.0 0.1027 0
0 1 0.0 0.1606 0
0 0 0.0 0.1502 0
0 0 0.0 0.1405 0
0 1 0.0 0.196 0
0 0 0.0 0.1833 0
0 0 0.0 0.1715 0
0 1 0.0 0.225 0
0 0 0.0 0.2104 0
0 0 0.0 0.1969 0
0 1 0.0 0.2487 0
0 0 0.0 0.2326 0
0 0 0.0 0.2176 0
0 1 0.0 0.2681 0
0 0 0.0 0.2508 0
0 0 0.0 0.2346 0
0 1 0.0 0.284 0
0 0 0.0 0.2657 0
0 0 0.0 0.2485 0
0 1 0.0 0.297 0
0 0 0.0 0.2779 0
0 0 0.0 0.2599 0
0 1 0.0 0.3077 0
0 0 0.0 0.2878 0
0 0 0.0 0.2693 0
0 0 0.0 0.2519 0
0 0 0.0 0.2356 0
0 1 0.0 0.285 0
0 0 0.0 0.2666 0
0 0 0.0 0.2494 0
0 1 0.0 0.2978 0
0 0 0.0 0.2786 0
0 0 0.0 0.2606 0
0 1 0.0 0.3083 0
0 0 0.0 0.2884 0
0 0 0.0 0.2698 0
0 1 0.0 0.3169 0
0 0 0.0 0.2965 0
0 0 0.0 0.2773 0
0 1 0.0 0.324 0
0 0 0.0 0.3031 0
0 0 0.0 0.2835 0
0 1 0.0 0.3297 0
0 0 0.0 0.3085 0
0 0 0.0 0.2886 0
0 1 0.0 0.3345 0
0 0 0.0 0.3129 0
0 0 0.0 0.2927 0
0 1 0.0 0.3383 0
0 0 0.0 0.3165 0
0 0 0.0 0.2961 0
0 1 0.0 0.3415 0
0 0 0.0 0.3195 0
0 0 0.0 0.2989 0
0 1 0.0 0.3441 0
0 0 0.0 0.3219 0
0 0 0.0 0.3011 0
0 0 0.0 0.2817 0
0 0 0.0 0.2635 0
0 0 0.0 0.2465 0
0 1 0.0 0.2951 0
0 0 0.0 0.2761 0
0 0 0.0 0.2583 0
0 1 0.0 0.3061 0
0 0 0.0 0.2864 0
0 0 0.0 0.2679 0
0 1 0.0 0.3151 0
0 0 0.0 0.2948 0
0 0 0.0 0.2758 0
0 1 0.0 0.3225 0
0 0 0.0 0.3017 0
0 0 0.0 0.2822 0
0 0 0.0 0.264 0
0 0 0.0 0.247 0
0 0 0.0 0.2311 0
0 0 0.0 0.2162 0
0 0 0.0 0.2022 0
0 0 0.0 0.1892 0
0 0 0.0 0.177 0
0 0 0.0 0.1655 0
0 0 0.0 0.1549 0
0 0 0.0 0.1449 0
0 0 0.0 0.1355 0
0 0 0.0 0.1268 0
0 0 0.0 0.1186 0
0 0 0.0 0.1109 0
0 0 0.0 0.1038 0
0 0 0.0 0.0971 0
0 0 0.0 0.0908 0
0 0 0.0 0.085 0
0 0 0.0 0.0795 0
0 0 0.0 0.0744 0
0 0 0.0 0.0696 0
0 0 0.0 0.0651 0
0 0 0.0 0.0609 0
0 0 0.0 0.0569 0
0 0 0.0 0.0533 0
0 0 0.0 0.0498 0
0 0 0.0 0.0466 0
0 0 0.0 0.0436 0
0 0 0.0 0.0408 0
0 0 0.0 0.0382 0
0 0 0.0 0.0357 0
0 0 0.0 0.0334 0
0 0 0.0 0.0312 0
0 0 0.0 0.0292 0
0 0 0.0 0.0273 0
0 0 0.0 0.0256 0
0 0 0.0 0.0239 0
0 0 0.0 0.0224 0
0 0 0.0 0.0209 0
0 0 0.0 0.0196 0
0 0 0.0 0.0183 0
0 0 0.0 0.0171 0
0 0 0.0 0.016 0
0 0 0.0 0.015 0
0 0 0.0 0.014 0
0 0 0.0 0.0131 0
0 0 0.0 0.0123 0
0 0 0.0 0.0115 0
1 1 0.0645 0.0753 0
1 1 0.1249 0.1349 0
1 1 0.1813 0.1907 0
2 2 0.2987 0.3075 0
2 2 0.4084 0.4167 0
2 2 0.5111 0.5188 0
3 3 0.6717 0.6789 0
3 3 0.8219 0.8286 0
3 3 0.9624 0.9687 0
4 4 1.1584 1.1643 0
4 4 1.3417 1.3472 0
4 4 1.5132 1.5184 0
5 5 1.7382 1.743 0
5 5 1.9486 1.9531 0
5 5 2.1455 2.1497 0
6 6 2.3942 2.3981 0
6 6 2.6268 2.6305 0
6 6 2.8444 2.8479 0
7 7 3.1125 3.1158 0
7 7 3.3633 3.3664 0
7 7 3.598 3.6008 0
8 8 3.882 3.8846 0
8 8 4.1476 4.1501 0
8 8 4.3962 4.3985 0
9 9 4.6932 4.6954 0
9 9 4.9711 4.9731 0
9 9 5.231 5.2329 0
10 10 5.5387 5.5404 0
10 10 5.8265 5.8282 0
10 10 6.0958 6.0973 0
11 11 6.4122 6.4136 0
11 11 6.7081 6.7095 0
