54, src: h37, dst: h144, sport: 55, dport: 55, flowsize: 20, starttime: 1000, finishtime: 1213, fct: 213, recvtput: 9.39 Gbps, sendtput: 100.0 Gbps

91, src: h86, dst: h144, sport: 92, dport: 92, flowsize: 20, starttime: 1000, finishtime: 1215, fct: 215, recvtput: 9.3 Gbps, sendtput: 100.0 Gbps

68, src: h55, dst: h144, sport: 69, dport: 69, flowsize: 20, starttime: 1000, finishtime: 3054, fct: 2054, recvtput: 0.97 Gbps, sendtput: 0.98 Gbps

72, src: h59, dst: h144, sport: 73, dport: 73, flowsize: 20, starttime: 1000, finishtime: 3056, fct: 2056, recvtput: 0.97 Gbps, sendtput: 0.98 Gbps

104, src: h103, dst: h144, sport: 105, dport: 105, flowsize: 20, starttime: 1000, finishtime: 4062, fct: 3062, recvtput: 0.65 Gbps, sendtput: 0.66 Gbps

63, src: h46, dst: h144, sport: 64, dport: 64, flowsize: 20, starttime: 1000, finishtime: 4146, fct: 3146, recvtput: 0.64 Gbps, sendtput: 0.65 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 20, starttime: 1000, finishtime: 4211, fct: 3211, recvtput: 0.62 Gbps, sendtput: 0.65 Gbps

96, src: h91, dst: h144, sport: 97, dport: 97, flowsize: 20, starttime: 1000, finishtime: 5096, fct: 4096, recvtput: 0.49 Gbps, sendtput: 0.49 Gbps

101, src: h96, dst: h144, sport: 102, dport: 102, flowsize: 20, starttime: 1000, finishtime: 5224, fct: 4224, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

42, src: h21, dst: h144, sport: 43, dport: 43, flowsize: 20, starttime: 1000, finishtime: 5259, fct: 4259, recvtput: 0.47 Gbps, sendtput: 0.49 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 20, starttime: 1000, finishtime: 6088, fct: 5088, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

110, src: h109, dst: h144, sport: 111, dport: 111, flowsize: 20, starttime: 1000, finishtime: 6091, fct: 5091, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

56, src: h39, dst: h144, sport: 57, dport: 57, flowsize: 20, starttime: 1000, finishtime: 6093, fct: 5093, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

44, src: h23, dst: h144, sport: 45, dport: 45, flowsize: 20, starttime: 1000, finishtime: 6097, fct: 5097, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

107, src: h106, dst: h144, sport: 108, dport: 108, flowsize: 20, starttime: 1000, finishtime: 6120, fct: 5120, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

75, src: h62, dst: h144, sport: 76, dport: 76, flowsize: 20, starttime: 1000, finishtime: 6124, fct: 5124, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

119, src: h120, dst: h144, sport: 120, dport: 120, flowsize: 20, starttime: 1000, finishtime: 6141, fct: 5141, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

41, src: h16, dst: h144, sport: 42, dport: 42, flowsize: 20, starttime: 1000, finishtime: 6160, fct: 5160, recvtput: 0.39 Gbps, sendtput: 0.39 Gbps

120, src: h121, dst: h144, sport: 121, dport: 121, flowsize: 20, starttime: 1000, finishtime: 6239, fct: 5239, recvtput: 0.38 Gbps, sendtput: 0.39 Gbps

