reorder_peak,flow_count
77,1
76,0
75,0
74,0
73,0
72,0
71,0
70,1
69,0
68,0
67,2
66,0
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,1
57,1
56,0
55,0
54,1
53,2
52,2
51,4
50,6
49,19
48,20
47,13
46,12
45,20
44,15
43,18
42,23
41,15
40,28
39,22
38,15
37,21
36,23
35,29
34,22
33,16
32,21
31,19
30,25
29,21
28,11
27,18
26,19
25,7
24,12
23,9
22,10
21,7
20,5
19,9
18,6
17,7
16,5
15,3
14,5
13,6
12,4
11,3
10,7
9,7
8,4
7,4
6,3
5,1
4,6
3,4
2,4
1,1
0,0
