reorder_peak,flow_count
121,1
120,0
119,0
118,0
117,0
116,0
115,0
114,0
113,0
112,0
111,0
110,0
109,0
108,0
107,0
106,0
105,0
104,0
103,0
102,0
101,0
100,0
99,0
98,0
97,1
96,1
95,0
94,0
93,0
92,1
91,0
90,0
89,0
88,1
87,0
86,2
85,0
84,0
83,0
82,0
81,1
80,0
79,1
78,1
77,1
76,1
75,0
74,2
73,0
72,0
71,1
70,0
69,2
68,0
67,3
66,1
65,1
64,0
63,1
62,2
61,5
60,2
59,3
58,2
57,1
56,2
55,3
54,5
53,1
52,7
51,6
50,10
49,6
48,3
47,9
46,7
45,10
44,9
43,10
42,8
41,8
40,5
39,4
38,7
37,10
36,5
35,4
34,5
33,3
32,5
31,3
30,5
29,6
28,7
27,6
26,6
25,4
24,4
23,5
22,1
21,1
20,2
19,1
18,3
17,3
16,1
15,1
14,2
13,6
12,2
11,2
10,0
9,0
8,0
7,1
6,4
5,0
4,0
3,2
2,4
1,0
0,0
