flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h29,h1,366,366,58
h17,h79,122,122,55
h16,h4,511,511,53
h20,h39,1199,1199,53
h12,h26,280,280,51
h26,h144,1356,1356,51
h28,h17,1326,1326,51
h27,h6,261,261,50
h5,h22,1435,1435,50
h1,h134,918,918,49
h11,h38,1124,1124,49
h12,h42,1360,1360,49
h17,h6,740,740,49
h9,h3,149,149,49
h1,h61,447,447,48
h13,h69,860,860,48
h21,h73,445,445,48
h25,h15,1301,1301,48
h26,h48,1079,1079,48
h27,h70,291,291,48
h29,h20,461,461,48
h30,h115,287,287,48
h8,h114,988,988,48
h9,h17,271,271,48
h11,h70,1427,1427,47
h11,h72,1086,1086,47
h12,h110,500,500,47
h14,h47,1273,1273,47
h19,h125,1123,1123,47
h29,h76,1052,1052,47
h29,h94,983,983,47
h31,h24,1477,1477,47
h4,h60,1374,1374,47
h4,h81,1005,1005,47
h8,h17,968,968,47
h9,h25,390,390,47
h10,h12,808,808,46
h12,h110,1134,1134,46
h16,h79,1474,1474,46
h17,h127,791,791,46
h2,h76,624,624,46
h21,h2,1466,1466,46
h21,h3,643,643,46
h21,h58,809,809,46
h27,h129,1238,1238,46
h32,h144,969,969,46
h7,h10,174,174,46
h10,h88,1169,1169,45
h11,h46,598,598,45
h12,h121,76,76,45
h17,h134,924,924,45
h18,h108,846,846,45
h2,h22,878,878,45
h25,h107,409,409,45
h28,h11,1150,1150,45
h3,h64,300,300,45
h31,h124,227,227,45
h6,h10,1053,1053,45
h6,h130,1380,1380,45
h1,h140,48,48,44
h1,h75,867,867,44
h10,h141,744,744,44
h10,h31,1047,1047,44
h14,h55,1300,1300,44
h17,h72,1465,1465,44
h2,h139,37,37,44
h23,h44,574,574,44
h29,h121,1354,1354,44
h3,h25,1135,1135,44
h3,h32,793,793,44
h30,h88,16,16,44
h31,h130,302,302,44
h32,h11,1206,1206,44
h4,h30,1448,1448,44
h5,h29,1491,1491,44
h5,h62,527,527,44
h7,h2,1439,1439,44
h7,h6,1492,1492,44
h7,h65,431,431,44
h7,h92,239,239,44
h1,h102,695,695,43
h1,h23,161,161,43
h10,h102,1019,1019,43
h13,h57,24,24,43
h15,h9,1317,1317,43
h18,h11,837,837,43
h18,h54,1156,1156,43
h20,h125,1253,1253,43
h21,h3,919,919,43
h29,h82,510,510,43
h30,h103,179,179,43
h31,h60,701,701,43
h32,h133,751,751,43
h32,h141,342,342,43
h1,h39,742,742,42
h10,h57,910,910,42
h12,h23,874,874,42
h13,h58,1521,1521,42
h13,h6,828,828,42
h14,h60,361,361,42
h16,h48,1036,1036,42
h20,h57,185,185,42
h20,h63,394,394,42
h21,h84,70,70,42
h23,h88,1155,1155,42
h23,h97,1515,1515,42
h24,h80,532,532,42
h26,h87,1441,1441,42
h4,h22,642,642,42
h4,h59,29,29,42
h4,h78,120,120,42
h8,h20,728,728,42
h9,h48,480,480,42
h15,h88,855,855,41
h16,h51,1334,1334,41
h2,h56,862,862,41
h22,h131,299,299,41
h23,h98,663,663,41
h24,h132,420,420,41
h27,h124,451,451,41
h29,h49,524,524,41
h32,h60,741,741,41
h4,h21,964,964,41
h6,h142,402,402,41
h7,h78,260,260,41
h8,h73,802,802,41
h9,h51,607,607,41
h10,h43,619,619,40
h10,h83,1023,1023,40
h14,h107,472,472,40
h16,h127,1010,1010,40
h17,h42,1324,1324,40
h25,h122,883,883,40
